city_name,province_name,value
深圳市,广东省,27.22
广州市,广东省,13.78
惠州市,广东省,12.06
佛山市,广东省,3.21
茂名市,广东省,2.71
河源市,广东省,2.66
清远市,广东省,1.68
中山市,广东省,1.68
赣州市,江西省,1.66
梅州市,广东省,1.61
玉林市,广西壮族自治区,1.6
永州市,湖南省,1.37
郴州市,湖南省,1.29
江门市,广东省,1.13
衡阳市,湖南省,1.07
湛江市,广东省,1
韶关市,广东省,0.97
肇庆市,广东省,0.92
揭阳市,广东省,0.85
吉安市,江西省,0.84
邵阳市,湖南省,0.8
汕尾市,广东省,0.78
云浮市,广东省,0.76
珠海市,广东省,0.75
阳江市,广东省,0.69
贵港市,广西壮族自治区,0.64
长沙市,湖南省,0.64
岳阳市,湖南省,0.57
南宁市,广西壮族自治区,0.57
重庆市,重庆市,0.56
梧州市,广西壮族自治区,0.54
汕头市,广东省,0.51
钦州市,广西壮族自治区,0.5
桂林市,广西壮族自治区,0.5
常德市,湖南省,0.41
株洲市,湖南省,0.39
娄底市,湖南省,0.3
荆州市,湖北省,0.28
贺州市,广西壮族自治区,0.28
黄冈市,湖北省,0.26
益阳市,湖南省,0.25
宜春市,江西省,0.25
武汉市,湖北省,0.24
泉州市,福建省,0.24
咸宁市,湖北省,0.22
怀化市,湖南省,0.22
南阳市,河南省,0.21
龙岩市,福建省,0.21
河池市,广西壮族自治区,0.21
厦门市,福建省,0.2
百色市,广西壮族自治区,0.2
九江市,江西省,0.19
潮州市,广东省,0.18
柳州市,广西壮族自治区,0.17
襄阳市,湖北省,0.17
湘潭市,湖南省,0.16
来宾市,广西壮族自治区,0.15
黔东南苗族侗族自治州,贵州省,0.15
萍乡市,江西省,0.14
南昌市,江西省,0.13
驻马店市,河南省,0.13
信阳市,河南省,0.13
上海市,上海市,0.13
漳州市,福建省,0.12
孝感市,湖北省,0.12
遵义市,贵州省,0.11
成都市,四川省,0.11
北海市,广西壮族自治区,0.11
抚州市,江西省,0.11
福州市,福建省,0.1
黔南布依族苗族自治州,贵州省,0.09
随州市,湖北省,0.09
北京市,北京市,0.09
贵阳市,贵州省,0.09
文山壮族苗族自治州,云南省,0.08
郑州市,河南省,0.08
西安市,陕西省,0.08
莆田市,福建省,0.08
达州市,四川省,0.07
阜阳市,安徽省,0.07
崇左市,广西壮族自治区,0.07
苏州市,江苏省,0.07
杭州市,浙江省,0.07
荆门市,湖北省,0.07
毕节市,贵州省,0.07
宜昌市,湖北省,0.06
张家界市,湖南省,0.06
温州市,浙江省,0.06
上饶市,江西省,0.06
周口市,河南省,0.06
黄石市,湖北省,0.06
昆明市,云南省,0.06
湘西土家族苗族自治州,湖南省,0.05
黔西南布依族苗族自治州,贵州省,0.05
铜仁市,贵州省,0.05
十堰市,湖北省,0.05
南充市,四川省,0.04
海口市,海南省,0.04
金华市,浙江省,0.04
南京市,江苏省,0.04
