city_name,province_name,value
广州市,广东省,43.77
中山市,广东省,8.01
肇庆市,广东省,6.62
江门市,广东省,5.01
东莞市,广东省,3.45
深圳市,广东省,3.44
清远市,广东省,3.42
惠州市,广东省,1.76
珠海市,广东省,1.48
云浮市,广东省,1.45
阳江市,广东省,1.24
贵港市,广西壮族自治区,1.04
湛江市,广东省,0.88
茂名市,广东省,0.81
韶关市,广东省,0.81
梧州市,广西壮族自治区,0.73
玉林市,广西壮族自治区,0.57
南宁市,广西壮族自治区,0.57
赣州市,江西省,0.52
桂林市,广西壮族自治区,0.51
贺州市,广西壮族自治区,0.5
衡阳市,湖南省,0.48
长沙市,湖南省,0.48
重庆市,重庆市,0.36
揭阳市,广东省,0.34
永州市,湖南省,0.34
汕头市,广东省,0.34
郴州市,湖南省,0.32
河源市,广东省,0.32
梅州市,广东省,0.31
汕尾市,广东省,0.3
钦州市,广西壮族自治区,0.29
百色市,广西壮族自治区,0.27
贵阳市,贵州省,0.21
上海市,上海市,0.21
柳州市,广西壮族自治区,0.21
成都市,四川省,0.2
河池市,广西壮族自治区,0.2
北京市,北京市,0.18
黔东南苗族侗族自治州,贵州省,0.18
武汉市,湖北省,0.18
邵阳市,湖南省,0.17
潮州市,广东省,0.16
泉州市,福建省,0.14
岳阳市,湖南省,0.13
株洲市,湖南省,0.12
厦门市,福建省,0.12
荆州市,湖北省,0.12
杭州市,浙江省,0.12
娄底市,湖南省,0.12
南昌市,江西省,0.11
益阳市,湖南省,0.11
吉安市,江西省,0.11
西安市,陕西省,0.11
铜仁市,贵州省,0.11
来宾市,广西壮族自治区,0.11
九江市,江西省,0.11
昆明市,云南省,0.11
遵义市,贵州省,0.1
常德市,湖南省,0.1
宜春市,江西省,0.1
漳州市,福建省,0.1
郑州市,河南省,0.09
北海市,广西壮族自治区,0.09
文山壮族苗族自治州,云南省,0.09
怀化市,湖南省,0.08
福州市,福建省,0.08
崇左市,广西壮族自治区,0.08
黔南布依族苗族自治州,贵州省,0.07
温州市,浙江省,0.07
湘潭市,湖南省,0.07
海口市,海南省,0.06
抚州市,江西省,0.06
南阳市,河南省,0.06
合肥市,安徽省,0.06
信阳市,河南省,0.06
南京市,江苏省,0.05
黄冈市,湖北省,0.05
毕节市,贵州省,0.05
龙岩市,福建省,0.05
黔西南布依族苗族自治州,贵州省,0.05
苏州市,江苏省,0.05
恩施土家族苗族自治州,湖北省,0.05
驻马店市,河南省,0.05
石家庄市,河北省,0.04
张家界市,湖南省,0.04
湘西土家族苗族自治州,湖南省,0.04
宁波市,浙江省,0.04
泸州市,四川省,0.04
安顺市,贵州省,0.04
上饶市,江西省,0.04
金华市,浙江省,0.04
乌鲁木齐市,新疆维吾尔自治区,0.04
襄阳市,湖北省,0.03
大理白族自治州,云南省,0.03
天津市,天津市,0.03
咸宁市,湖北省,0.03
萍乡市,江西省,0.03
青岛市,山东省,0.03
孝感市,湖北省,0.03
