city_name,province_name,value
佛山市,广东省,27.79
东莞市,广东省,11.97
深圳市,广东省,9.06
清远市,广东省,6.17
惠州市,广东省,3.73
中山市,广东省,3.69
肇庆市,广东省,3.05
江门市,广东省,2.72
珠海市,广东省,2.23
韶关市,广东省,1.47
湛江市,广东省,1.29
茂名市,广东省,1.14
云浮市,广东省,0.94
梅州市,广东省,0.8
阳江市,广东省,0.77
汕头市,广东省,0.75
河源市,广东省,0.73
揭阳市,广东省,0.73
赣州市,江西省,0.69
长沙市,湖南省,0.68
汕尾市,广东省,0.64
衡阳市,湖南省,0.63
北京市,北京市,0.59
潮州市,广东省,0.57
上海市,上海市,0.57
南宁市,广西壮族自治区,0.54
郴州市,湖南省,0.49
泉州市,福建省,0.4
重庆市,重庆市,0.38
桂林市,广西壮族自治区,0.38
武汉市,湖北省,0.38
厦门市,福建省,0.36
梧州市,广西壮族自治区,0.36
成都市,四川省,0.34
玉林市,广西壮族自治区,0.34
永州市,湖南省,0.32
福州市,福建省,0.32
杭州市,浙江省,0.29
贵港市,广西壮族自治区,0.29
金华市,浙江省,0.27
贺州市,广西壮族自治区,0.26
宁波市,浙江省,0.23
南昌市,江西省,0.21
邵阳市,湖南省,0.21
株洲市,湖南省,0.2
西安市,陕西省,0.19
台州市,浙江省,0.18
郑州市,河南省,0.18
贵阳市,贵州省,0.17
钦州市,广西壮族自治区,0.17
南京市,江苏省,0.17
漳州市,福建省,0.17
苏州市,江苏省,0.15
昆明市,云南省,0.15
柳州市,广西壮族自治区,0.15
天津市,天津市,0.14
海口市,海南省,0.13
青岛市,山东省,0.13
岳阳市,湖南省,0.12
合肥市,安徽省,0.12
吉安市,江西省,0.11
宜春市,江西省,0.11
娄底市,湖南省,0.11
石家庄市,河北省,0.11
临沂市,山东省,0.11
温州市,浙江省,0.11
百色市,广西壮族自治区,0.1
常德市,湖南省,0.1
荆州市,湖北省,0.1
沈阳市,辽宁省,0.09
益阳市,湖南省,0.09
遵义市,贵州省,0.09
济南市,山东省,0.08
湘潭市,湖南省,0.08
九江市,江西省,0.08
怀化市,湖南省,0.08
黔东南苗族侗族自治州,贵州省,0.07
大连市,辽宁省,0.07
北海市,广西壮族自治区,0.07
驻马店市,河南省,0.07
哈尔滨市,黑龙江省,0.07
无锡市,江苏省,0.07
南阳市,河南省,0.06
廊坊市,河北省,0.06
抚州市,江西省,0.06
河池市,广西壮族自治区,0.06
龙岩市,福建省,0.06
太原市,山西省,0.06
上饶市,江西省,0.06
黔南布依族苗族自治州,贵州省,0.06
来宾市,广西壮族自治区,0.06
乌鲁木齐市,新疆维吾尔自治区,0.05
嘉兴市,浙江省,0.05
菏泽市,山东省,0.05
崇左市,广西壮族自治区,0.05
三亚市,海南省,0.05
淄博市,山东省,0.05
湖州市,浙江省,0.05
黄冈市,湖北省,0.05
绍兴市,浙江省,0.05
