city_name,province_name,value
深圳市,广东省,35.85
东莞市,广东省,23
广州市,广东省,10.31
河源市,广东省,4.54
汕尾市,广东省,4.25
佛山市,广东省,2.22
梅州市,广东省,1.08
中山市,广东省,0.97
揭阳市,广东省,0.89
汕头市,广东省,0.78
清远市,广东省,0.7
赣州市,江西省,0.69
珠海市,广东省,0.61
江门市,广东省,0.61
韶关市,广东省,0.6
肇庆市,广东省,0.51
桂林市,广西壮族自治区,0.38
重庆市,重庆市,0.38
长沙市,湖南省,0.33
郴州市,湖南省,0.31
茂名市,广东省,0.3
湛江市,广东省,0.3
厦门市,福建省,0.27
潮州市,广东省,0.26
北京市,北京市,0.25
南宁市,广西壮族自治区,0.22
衡阳市,湖南省,0.22
玉林市,广西壮族自治区,0.21
成都市,四川省,0.2
吉安市,江西省,0.2
武汉市,湖北省,0.2
永州市,湖南省,0.19
上海市,上海市,0.19
漳州市,福建省,0.18
泉州市,福建省,0.17
云浮市,广东省,0.16
邵阳市,湖南省,0.16
南昌市,江西省,0.14
阳江市,广东省,0.14
昆明市,云南省,0.13
百色市,广西壮族自治区,0.12
苏州市,江苏省,0.1
贵阳市,贵州省,0.1
贵港市,广西壮族自治区,0.1
怀化市,湖南省,0.1
宜春市,江西省,0.09
株洲市,湖南省,0.09
常德市,湖南省,0.09
信阳市,河南省,0.09
益阳市,湖南省,0.09
钦州市,广西壮族自治区,0.09
南京市,江苏省,0.09
岳阳市,湖南省,0.09
杭州市,浙江省,0.09
铜仁市,贵州省,0.09
郑州市,河南省,0.08
福州市,福建省,0.08
黄山市,安徽省,0.08
河池市,广西壮族自治区,0.08
安顺市,贵州省,0.08
黄冈市,湖北省,0.07
九江市,江西省,0.07
西安市,陕西省,0.07
南阳市,河南省,0.07
梧州市,广西壮族自治区,0.07
龙岩市,福建省,0.07
黔南布依族苗族自治州,贵州省,0.07
上饶市,江西省,0.07
湘潭市,湖南省,0.07
金华市,浙江省,0.06
娄底市,湖南省,0.06
文山壮族苗族自治州,云南省,0.06
黔东南苗族侗族自治州,贵州省,0.06
温州市,浙江省,0.06
黔西南布依族苗族自治州,贵州省,0.05
遵义市,贵州省,0.05
驻马店市,河南省,0.05
柳州市,广西壮族自治区,0.05
贺州市,广西壮族自治区,0.05
抚州市,江西省,0.05
宁波市,浙江省,0.05
无锡市,江苏省,0.05
来宾市,广西壮族自治区,0.05
周口市,河南省,0.04
达州市,四川省,0.04
合肥市,安徽省,0.04
荆州市,湖北省,0.04
毕节市,贵州省,0.04
常州市,江苏省,0.04
随州市,湖北省,0.04
襄阳市,湖北省,0.03
天津市,天津市,0.03
咸宁市,湖北省,0.03
红河哈尼族彝族自治州,云南省,0.03
广安市,四川省,0.03
宜昌市,湖北省,0.03
恩施土家族苗族自治州,湖北省,0.03
宁德市,福建省,0.03
新余市,江西省,0.03
南充市,四川省,0.03
