city_name,province_name,value
佛山市,广东省,20.98
中山市,广东省,19.34
广州市,广东省,14.56
珠海市,广东省,6.96
阳江市,广东省,4.82
深圳市,广东省,3.67
东莞市,广东省,3.64
云浮市,广东省,3.28
茂名市,广东省,2.37
肇庆市,广东省,2.19
湛江市,广东省,1.25
清远市,广东省,1.12
惠州市,广东省,1.08
梧州市,广西壮族自治区,0.6
南宁市,广西壮族自治区,0.59
韶关市,广东省,0.55
贵港市,广西壮族自治区,0.48
玉林市,广西壮族自治区,0.34
重庆市,重庆市,0.34
桂林市,广西壮族自治区,0.34
铜仁市,贵州省,0.33
百色市,广西壮族自治区,0.32
文山壮族苗族自治州,云南省,0.28
长沙市,湖南省,0.28
贺州市,广西壮族自治区,0.27
赣州市,江西省,0.26
汕头市,广东省,0.26
柳州市,广西壮族自治区,0.24
钦州市,广西壮族自治区,0.22
武汉市,湖北省,0.22
郴州市,湖南省,0.22
汕尾市,广东省,0.19
衡阳市,湖南省,0.18
揭阳市,广东省,0.18
上海市,上海市,0.17
河池市,广西壮族自治区,0.16
梅州市,广东省,0.16
永州市,湖南省,0.16
北京市,北京市,0.16
河源市,广东省,0.16
崇左市,广西壮族自治区,0.15
漳州市,福建省,0.12
成都市,四川省,0.11
北海市,广西壮族自治区,0.11
潮州市,广东省,0.09
泉州市,福建省,0.09
邵阳市,湖南省,0.09
来宾市,广西壮族自治区,0.09
海口市,海南省,0.09
昆明市,云南省,0.08
杭州市,浙江省,0.08
常德市,湖南省,0.08
岳阳市,湖南省,0.08
黔东南苗族侗族自治州,贵州省,0.07
遵义市,贵州省,0.07
金华市,浙江省,0.07
福州市,福建省,0.07
厦门市,福建省,0.06
南昌市,江西省,0.06
防城港市,广西壮族自治区,0.06
株洲市,湖南省,0.06
益阳市,湖南省,0.06
南阳市,河南省,0.06
天津市,天津市,0.06
泸州市,四川省,0.06
黔南布依族苗族自治州,贵州省,0.06
驻马店市,河南省,0.06
贵阳市,贵州省,0.05
吉安市,江西省,0.05
儋州市,海南省,0.05
怀化市,湖南省,0.05
宜宾市,四川省,0.05
宁波市,浙江省,0.05
九江市,江西省,0.05
黄冈市,湖北省,0.05
丽水市,浙江省,0.04
上饶市,江西省,0.04
娄底市,湖南省,0.04
毕节市,贵州省,0.04
郑州市,河南省,0.04
石家庄市,河北省,0.04
南京市,江苏省,0.04
台州市,浙江省,0.04
温州市,浙江省,0.03
抚州市,江西省,0.03
宜春市,江西省,0.03
广安市,四川省,0.03
合肥市,安徽省,0.03
南充市,四川省,0.03
湘潭市,湖南省,0.03
三亚市,海南省,0.03
龙岩市,福建省,0.03
西安市,陕西省,0.03
周口市,河南省,0.03
无锡市,江苏省,0.03
苏州市,江苏省,0.02
青岛市,山东省,0.02
黔西南布依族苗族自治州,贵州省,0.02
荆州市,湖北省,0.02
红河哈尼族彝族自治州,云南省,0.02
