city_name,province_name,value
东莞市,广东省,33.3
惠州市,广东省,15.71
广州市,广东省,10.36
佛山市,广东省,3.1
中山市,广东省,2.34
汕尾市,广东省,2.15
珠海市,广东省,1.61
河源市,广东省,1.6
揭阳市,广东省,1.17
江门市,广东省,1.12
梅州市,广东省,0.92
汕头市,广东省,0.86
上海市,上海市,0.82
北京市,北京市,0.74
茂名市,广东省,0.67
清远市,广东省,0.64
长沙市,湖南省,0.62
湛江市,广东省,0.62
肇庆市,广东省,0.62
赣州市,江西省,0.54
韶关市,广东省,0.49
成都市,四川省,0.41
重庆市,重庆市,0.41
武汉市,湖北省,0.4
杭州市,浙江省,0.35
南宁市,广西壮族自治区,0.35
厦门市,福建省,0.35
阳江市,广东省,0.34
桂林市,广西壮族自治区,0.3
潮州市,广东省,0.29
云浮市,广东省,0.29
玉林市,广西壮族自治区,0.28
衡阳市,湖南省,0.27
吉安市,江西省,0.27
郴州市,湖南省,0.26
西安市,陕西省,0.24
泉州市,福建省,0.23
邵阳市,湖南省,0.22
南昌市,江西省,0.21
苏州市,江苏省,0.2
永州市,湖南省,0.19
昆明市,云南省,0.19
南京市,江苏省,0.18
福州市,福建省,0.18
郑州市,河南省,0.17
合肥市,安徽省,0.16
漳州市,福建省,0.15
梧州市,广西壮族自治区,0.15
宁波市,浙江省,0.13
贵港市,广西壮族自治区,0.13
海口市,海南省,0.13
百色市,广西壮族自治区,0.13
贺州市,广西壮族自治区,0.13
贵阳市,贵州省,0.12
株洲市,湖南省,0.11
柳州市,广西壮族自治区,0.11
九江市,江西省,0.11
宜春市,江西省,0.11
岳阳市,湖南省,0.1
怀化市,湖南省,0.1
黄冈市,湖北省,0.1
钦州市,广西壮族自治区,0.1
河池市,广西壮族自治区,0.1
娄底市,湖南省,0.1
天津市,天津市,0.1
哈尔滨市,黑龙江省,0.1
济南市,山东省,0.09
崇左市,广西壮族自治区,0.09
青岛市,山东省,0.09
常德市,湖南省,0.09
湘潭市,湖南省,0.08
沈阳市,辽宁省,0.08
温州市,浙江省,0.08
荆州市,湖北省,0.07
无锡市,江苏省,0.07
南阳市,河南省,0.07
黔东南苗族侗族自治州,贵州省,0.07
益阳市,湖南省,0.07
三亚市,海南省,0.07
龙岩市,福建省,0.06
上饶市,江西省,0.06
驻马店市,河南省,0.06
金华市,浙江省,0.06
抚州市,江西省,0.06
嘉兴市,浙江省,0.06
常州市,江苏省,0.06
石家庄市,河北省,0.06
咸宁市,湖北省,0.06
南充市,四川省,0.05
襄阳市,湖北省,0.05
长春市,吉林省,0.05
宁德市,福建省,0.05
遵义市,贵州省,0.05
毕节市,贵州省,0.05
达州市,四川省,0.05
莆田市,福建省,0.05
北海市,广西壮族自治区,0.05
来宾市,广西壮族自治区,0.04
黔南布依族苗族自治州,贵州省,0.04
兰州市,甘肃省,0.04
