city_name,province_name,value
佛山市,广东省,27.82
广州市,广东省,20.63
云浮市,广东省,9.12
清远市,广东省,4.43
深圳市,广东省,4.11
东莞市,广东省,3.63
中山市,广东省,2.83
江门市,广东省,2.62
梧州市,广西壮族自治区,2.45
阳江市,广东省,2.22
惠州市,广东省,1.69
贺州市,广西壮族自治区,1.56
珠海市,广东省,1.47
茂名市,广东省,1.4
湛江市,广东省,0.99
贵港市,广西壮族自治区,0.71
桂林市,广西壮族自治区,0.65
韶关市,广东省,0.6
南宁市,广西壮族自治区,0.49
梅州市,广东省,0.49
玉林市,广西壮族自治区,0.48
河源市,广东省,0.48
汕头市,广东省,0.47
揭阳市,广东省,0.42
永州市,湖南省,0.32
重庆市,重庆市,0.31
郴州市,湖南省,0.31
柳州市,广西壮族自治区,0.3
汕尾市,广东省,0.3
长沙市,湖南省,0.27
潮州市,广东省,0.27
衡阳市,湖南省,0.25
铜仁市,贵州省,0.21
赣州市,江西省,0.18
百色市,广西壮族自治区,0.15
钦州市,广西壮族自治区,0.15
成都市,四川省,0.14
来宾市,广西壮族自治区,0.14
贵阳市,贵州省,0.12
河池市,广西壮族自治区,0.12
黔东南苗族侗族自治州,贵州省,0.11
北海市,广西壮族自治区,0.1
文山壮族苗族自治州,云南省,0.1
莆田市,福建省,0.09
怀化市,湖南省,0.08
邵阳市,湖南省,0.08
遵义市,贵州省,0.08
武汉市,湖北省,0.08
常德市,湖南省,0.07
上海市,上海市,0.07
岳阳市,湖南省,0.07
昆明市,云南省,0.07
北京市,北京市,0.07
吉安市,江西省,0.07
南阳市,河南省,0.07
娄底市,湖南省,0.07
黔南布依族苗族自治州,贵州省,0.06
株洲市,湖南省,0.06
南昌市,江西省,0.06
益阳市,湖南省,0.06
杭州市,浙江省,0.05
崇左市,广西壮族自治区,0.05
漳州市,福建省,0.05
厦门市,福建省,0.05
湘潭市,湖南省,0.05
毕节市,贵州省,0.05
泉州市,福建省,0.04
福州市,福建省,0.04
荆州市,湖北省,0.04
郑州市,河南省,0.04
南充市,四川省,0.04
黔西南布依族苗族自治州,贵州省,0.03
海口市,海南省,0.03
宜宾市,四川省,0.03
泸州市,四川省,0.03
上饶市,江西省,0.03
湘西土家族苗族自治州,湖南省,0.03
襄阳市,湖北省,0.03
安顺市,贵州省,0.02
萍乡市,江西省,0.02
信阳市,河南省,0.02
苏州市,江苏省,0.02
昭通市,云南省,0.02
周口市,河南省,0.02
达州市,四川省,0.02
驻马店市,河南省,0.02
红河哈尼族彝族自治州,云南省,0.02
内江市,四川省,0.02
抚州市,江西省,0.02
九江市,江西省,0.02
曲靖市,云南省,0.02
石家庄市,河北省,0.02
西安市,陕西省,0.02
青岛市,山东省,0.02
张家界市,湖南省,0.02
宜春市,江西省,0.02
乐山市,四川省,0.02
新余市,江西省,0.01
合肥市,安徽省,0.01
黄冈市,湖北省,0.01
