city_name,province_name,value
珠海市,广东省,13.47
佛山市,广东省,8.35
贵港市,广西壮族自治区,7.9
广州市,广东省,6.18
肇庆市,广东省,5.97
江门市,广东省,5.68
梧州市,广西壮族自治区,4.73
湛江市,广东省,4.42
阳江市,广东省,3.19
贺州市,广西壮族自治区,2.94
云浮市,广东省,2.7
玉林市,广西壮族自治区,2.68
衡阳市,湖南省,2.18
清远市,广东省,2.15
东莞市,广东省,2
深圳市,广东省,1.97
南宁市,广西壮族自治区,1.8
茂名市,广东省,1.73
钦州市,广西壮族自治区,1.63
赣州市,江西省,1.34
永州市,湖南省,1.07
来宾市,广西壮族自治区,0.97
郴州市,湖南省,0.95
韶关市,广东省,0.92
桂林市,广西壮族自治区,0.86
河池市,广西壮族自治区,0.79
揭阳市,广东省,0.73
汕尾市,广东省,0.7
惠州市,广东省,0.6
梅州市,广东省,0.45
柳州市,广西壮族自治区,0.41
邵阳市,湖南省,0.41
汕头市,广东省,0.4
吉安市,江西省,0.34
百色市,广西壮族自治区,0.32
河源市,广东省,0.31
上饶市,江西省,0.3
潮州市,广东省,0.28
宜春市,江西省,0.23
长沙市,湖南省,0.16
株洲市,湖南省,0.16
北海市,广西壮族自治区,0.15
抚州市,江西省,0.15
重庆市,重庆市,0.14
怀化市,湖南省,0.12
孝感市,湖北省,0.11
黔东南苗族侗族自治州,贵州省,0.11
随州市,湖北省,0.11
武汉市,湖北省,0.11
娄底市,湖南省,0.1
常德市,湖南省,0.1
崇左市,广西壮族自治区,0.09
泉州市,福建省,0.09
南昌市,江西省,0.08
泸州市,四川省,0.08
九江市,江西省,0.08
铜仁市,贵州省,0.07
黄冈市,湖北省,0.07
宜宾市,四川省,0.06
岳阳市,湖南省,0.06
益阳市,湖南省,0.06
黔南布依族苗族自治州,贵州省,0.06
漳州市,福建省,0.05
成都市,四川省,0.05
上海市,上海市,0.05
驻马店市,河南省,0.05
新余市,江西省,0.05
咸宁市,湖北省,0.05
荆州市,湖北省,0.04
萍乡市,江西省,0.04
湘潭市,湖南省,0.04
温州市,浙江省,0.04
防城港市,广西壮族自治区,0.04
信阳市,河南省,0.04
贵阳市,贵州省,0.04
北京市,北京市,0.04
郑州市,河南省,0.03
南阳市,河南省,0.03
黄石市,湖北省,0.03
龙岩市,福建省,0.03
杭州市,浙江省,0.03
宁波市,浙江省,0.03
遵义市,贵州省,0.03
襄阳市,湖北省,0.03
金华市,浙江省,0.03
文山壮族苗族自治州,云南省,0.03
福州市,福建省,0.02
西安市,陕西省,0.02
昆明市,云南省,0.02
海口市,海南省,0.02
安庆市,安徽省,0.02
毕节市,贵州省,0.02
南平市,福建省,0.02
周口市,河南省,0.02
莆田市,福建省,0.02
厦门市,福建省,0.02
天津市,天津市,0.02
六盘水市,贵州省,0.01
漯河市,河南省,0.01
南充市,四川省,0.01
