city_name,province_name,value
中山市,广东省,38.85
广州市,广东省,8.75
深圳市,广东省,5.42
江门市,广东省,4.18
佛山市,广东省,3.7
东莞市,广东省,2.57
湛江市,广东省,1.18
惠州市,广东省,1.15
茂名市,广东省,1.12
阳江市,广东省,0.98
清远市,广东省,0.84
肇庆市,广东省,0.78
长沙市,湖南省,0.68
重庆市,重庆市,0.5
北京市,北京市,0.5
桂林市,广西壮族自治区,0.5
云浮市,广东省,0.43
韶关市,广东省,0.43
汕头市,广东省,0.42
武汉市,湖北省,0.4
上海市,上海市,0.38
揭阳市,广东省,0.37
郴州市,湖南省,0.37
梅州市,广东省,0.36
南宁市,广西壮族自治区,0.35
汕尾市,广东省,0.33
成都市,四川省,0.32
玉林市,广西壮族自治区,0.3
河源市,广东省,0.3
赣州市,江西省,0.29
衡阳市,湖南省,0.28
贵阳市,贵州省,0.26
杭州市,浙江省,0.25
梧州市,广西壮族自治区,0.23
永州市,湖南省,0.22
昆明市,云南省,0.22
邵阳市,湖南省,0.21
南京市,江苏省,0.2
西安市,陕西省,0.2
潮州市,广东省,0.19
贺州市,广西壮族自治区,0.19
南昌市,江西省,0.18
岳阳市,湖南省,0.17
常德市,湖南省,0.16
厦门市,福建省,0.15
贵港市,广西壮族自治区,0.14
郑州市,河南省,0.14
合肥市,安徽省,0.14
柳州市,广西壮族自治区,0.14
海口市,海南省,0.13
泉州市,福建省,0.12
哈尔滨市,黑龙江省,0.11
荆州市,湖北省,0.11
株洲市,湖南省,0.1
益阳市,湖南省,0.1
吉安市,江西省,0.1
宜春市,江西省,0.1
苏州市,江苏省,0.1
太原市,山西省,0.09
信阳市,河南省,0.09
兰州市,甘肃省,0.09
遵义市,贵州省,0.09
娄底市,湖南省,0.09
钦州市,广西壮族自治区,0.09
怀化市,湖南省,0.09
百色市,广西壮族自治区,0.08
福州市,福建省,0.08
河池市,广西壮族自治区,0.08
长春市,吉林省,0.08
九江市,江西省,0.08
文山壮族苗族自治州,云南省,0.08
沈阳市,辽宁省,0.08
北海市,广西壮族自治区,0.08
孝感市,湖北省,0.07
宁波市,浙江省,0.07
黔东南苗族侗族自治州,贵州省,0.07
抚州市,江西省,0.07
天津市,天津市,0.07
湘潭市,湖南省,0.07
张家界市,湖南省,0.07
驻马店市,河南省,0.06
黔南布依族苗族自治州,贵州省,0.06
萍乡市,江西省,0.06
大连市,辽宁省,0.06
台州市,浙江省,0.06
宜昌市,湖北省,0.06
石家庄市,河北省,0.06
上饶市,江西省,0.06
大理白族自治州,云南省,0.06
南充市,四川省,0.05
青岛市,山东省,0.05
黄冈市,湖北省,0.05
崇左市,广西壮族自治区,0.05
襄阳市,湖北省,0.05
来宾市,广西壮族自治区,0.05
南阳市,河南省,0.05
铜仁市,贵州省,0.05
银川市,宁夏回族自治区,0.04
济南市,山东省,0.04
乌鲁木齐市,新疆维吾尔自治区,0.04
