Origin,Destination,Average_Proportion
DongGuan,ShenZhen,29.604516129032262
DongGuan,GuangZhou,14.833225806451614
DongGuan,HuiZhou,14.009354838709678
DongGuan,FoShan,3.5625806451612916
DongGuan,ZhongShan,1.8270967741935484
DongGuan,ZhuHai,1.1477419354838712
DongGuan,JiangMen,1.0364516129032257
DongGuan,ZhaoQing,0.7967741935483872
GuangZhou,FoShan,23.117096774193552
GuangZhou,DongGuan,8.703548387096774
GuangZhou,ShenZhen,6.935806451612904
GuangZhou,HuiZhou,4.850645161290322
GuangZhou,ZhongShan,3.0887096774193554
GuangZhou,ZhaoQing,2.781290322580646
GuangZhou,ZhuHai,2.3664516129032247
GuangZhou,JiangMen,2.529032258064516
HuiZhou,ShenZhen,32.18516129032258
HuiZhou,DongGuan,19.827419354838707
HuiZhou,GuangZhou,11.819677419354838
HuiZhou,FoShan,2.8654838709677413
HuiZhou,ZhongShan,1.1109677419354838
HuiZhou,ZhuHai,0.7880645161290323
HuiZhou,JiangMen,0.5445161290322581
HuiZhou,ZhaoQing,0.5161290322580645
FoShan,GuangZhou,37.79483870967742
FoShan,ZhaoQing,7.162580645161291
FoShan,ZhongShan,7.139677419354839
FoShan,JiangMen,5.68193548387097
FoShan,DongGuan,3.400322580645162
FoShan,ShenZhen,3.4851612903225804
FoShan,HuiZhou,1.9425806451612904
FoShan,ZhuHai,1.9012903225806452
ShenZhen,DongGuan,24.269677419354835
ShenZhen,HuiZhou,16.19612903225806
ShenZhen,GuangZhou,8.888387096774192
ShenZhen,ZhongShan,2.964193548387097
ShenZhen,FoShan,2.791290322580646
ShenZhen,ZhuHai,1.848709677419355
ShenZhen,JiangMen,0.9929032258064516
ShenZhen,ZhaoQing,0.5541935483870967
ZhuHai,ZhongShan,35.52612903225807
ZhuHai,GuangZhou,9.639354838709677
ZhuHai,ShenZhen,6.050645161290323
ZhuHai,JiangMen,4.693548387096774
ZhuHai,FoShan,4.333870967741935
ZhuHai,DongGuan,2.7151612903225804
ZhuHai,HuiZhou,1.182258064516129
ZhuHai,ZhaoQing,0.9029032258064514
ZhaoQing,FoShan,29.191290322580645
ZhaoQing,GuangZhou,20.553870967741933
ZhaoQing,DongGuan,3.1806451612903226
ZhaoQing,ShenZhen,3.2345161290322584
ZhaoQing,ZhongShan,2.59741935483871
ZhaoQing,JiangMen,2.6712903225806452
ZhaoQing,ZhuHai,1.7267741935483871
ZhaoQing,HuiZhou,1.4551612903225806
ZhongShan,ZhuHai,27.12451612903226
ZhongShan,FoShan,14.124838709677418
ZhongShan,GuangZhou,10.533548387096774
ZhongShan,JiangMen,8.741612903225807
ZhongShan,ShenZhen,6.399677419354841
ZhongShan,DongGuan,3.25
ZhongShan,ZhaoQing,1.2980645161290323
ZhongShan,HuiZhou,1.3319354838709683
JiangMen,FoShan,18.94
JiangMen,ZhongShan,15.343548387096778
JiangMen,GuangZhou,15.836774193548388
JiangMen,ZhuHai,7.174193548387098
JiangMen,ShenZhen,4.896451612903225
JiangMen,DongGuan,3.509354838709678
JiangMen,ZhaoQing,2.2806451612903222
JiangMen,HuiZhou,1.2587096774193551
