Origin,Destination,Weekend_Avg_Proportion
FoShan,GuangZhou,42.05333333333333
FoShan,ZhongShan,8.144444444444444
FoShan,ZhaoQing,8.805555555555555
FoShan,JiangMen,6.9
FoShan,DongGuan,3.831111111111111
FoShan,ShenZhen,3.6688888888888886
FoShan,ZhuHai,1.8811111111111112
FoShan,HuiZhou,1.5322222222222224
HuiZhou,ShenZhen,35.875555555555565
HuiZhou,DongGuan,22.471111111111114
HuiZhou,GuangZhou,10.98
HuiZhou,FoShan,2.498888888888889
HuiZhou,ZhongShan,1.017777777777778
HuiZhou,ZhuHai,0.8466666666666666
HuiZhou,JiangMen,0.5466666666666666
HuiZhou,ZhaoQing,0.47000000000000003
ZhaoQing,FoShan,32.15555555555555
ZhaoQing,GuangZhou,22.023333333333333
ZhaoQing,ShenZhen,3.2088888888888887
ZhaoQing,DongGuan,3.301111111111111
ZhaoQing,JiangMen,3.1166666666666663
ZhaoQing,ZhongShan,2.7255555555555557
ZhaoQing,ZhuHai,1.5133333333333332
ZhaoQing,HuiZhou,1.101111111111111
ShenZhen,DongGuan,27.936666666666667
ShenZhen,HuiZhou,20.65555555555556
ShenZhen,GuangZhou,10.571111111111113
ShenZhen,FoShan,3.433333333333333
ShenZhen,ZhongShan,2.931111111111111
ShenZhen,ZhuHai,2.308888888888889
ShenZhen,JiangMen,1.172222222222222
ShenZhen,ZhaoQing,0.658888888888889
ZhuHai,ZhongShan,41.72222222222222
ZhuHai,GuangZhou,10.362222222222222
ZhuHai,ShenZhen,6.226666666666667
ZhuHai,JiangMen,6.238888888888889
ZhuHai,FoShan,4.526666666666667
ZhuHai,DongGuan,2.586666666666666
ZhuHai,HuiZhou,1.0688888888888888
ZhuHai,ZhaoQing,0.8955555555555554
DongGuan,ShenZhen,33.82777777777778
DongGuan,GuangZhou,17.692222222222224
DongGuan,HuiZhou,16.57
DongGuan,FoShan,4.395555555555555
DongGuan,ZhongShan,2.082222222222222
DongGuan,JiangMen,1.29
DongGuan,ZhuHai,1.3033333333333335
DongGuan,ZhaoQing,0.9577777777777778
GuangZhou,FoShan,28.833333333333332
GuangZhou,DongGuan,10.038888888888888
GuangZhou,ShenZhen,7.832222222222222
GuangZhou,HuiZhou,4.36888888888889
GuangZhou,ZhongShan,3.748888888888889
GuangZhou,ZhaoQing,3.6622222222222223
GuangZhou,JiangMen,3.2955555555555556
GuangZhou,ZhuHai,2.7366666666666664
ZhongShan,ZhuHai,27.492222222222225
ZhongShan,FoShan,17.5
ZhongShan,GuangZhou,12.58
ZhongShan,JiangMen,11.046666666666667
ZhongShan,ShenZhen,6.302222222222222
ZhongShan,DongGuan,3.7999999999999994
ZhongShan,ZhaoQing,1.5811111111111111
ZhongShan,HuiZhou,1.2244444444444447
JiangMen,FoShan,21.723333333333333
JiangMen,ZhongShan,18.148888888888887
JiangMen,GuangZhou,17.02111111111111
JiangMen,ZhuHai,8.05888888888889
JiangMen,ShenZhen,4.924444444444443
JiangMen,DongGuan,3.7600000000000002
JiangMen,ZhaoQing,2.73
JiangMen,HuiZhou,1.1588888888888889
