Origin,Destination,Average_Proportion
JiangMen,FoShan,19.51806451612903
JiangMen,GuangZhou,15.738709677419356
JiangMen,ZhongShan,17.15741935483871
JiangMen,ZhuHai,6.934838709677421
JiangMen,ShenZhen,5.8341935483870975
JiangMen,DongGuan,3.8487096774193543
JiangMen,ZhaoQing,2.2187096774193544
JiangMen,HuiZhou,1.3283870967741933
ZhongShan,ZhuHai,28.64612903225806
ZhongShan,FoShan,14.94483870967742
ZhongShan,GuangZhou,10.816774193548389
ZhongShan,JiangMen,9.028709677419355
ZhongShan,ShenZhen,7.7712903225806444
ZhongShan,DongGuan,3.6029032258064526
ZhongShan,HuiZhou,1.4225806451612901
ZhongShan,ZhaoQing,1.1961290322580647
ZhaoQing,FoShan,30.39032258064516
ZhaoQing,GuangZhou,20.917741935483868
ZhaoQing,DongGuan,3.4806451612903224
ZhaoQing,ShenZhen,3.45
ZhaoQing,ZhongShan,2.7680645161290323
ZhaoQing,JiangMen,2.5509677419354837
ZhaoQing,ZhuHai,1.4370967741935485
ZhaoQing,HuiZhou,1.5019354838709675
ZhuHai,ZhongShan,38.44161290322581
ZhuHai,GuangZhou,9.262258064516129
ZhuHai,ShenZhen,6.259999999999998
ZhuHai,JiangMen,4.5767741935483865
ZhuHai,FoShan,3.8799999999999994
ZhuHai,DongGuan,2.6748387096774198
ZhuHai,HuiZhou,1.1470967741935483
ZhuHai,ZhaoQing,0.7774193548387097
ShenZhen,DongGuan,25.90806451612903
ShenZhen,HuiZhou,16.612903225806452
ShenZhen,GuangZhou,8.903870967741934
ShenZhen,ZhongShan,3.505483870967742
ShenZhen,FoShan,2.836129032258064
ShenZhen,ZhuHai,1.7890322580645162
ShenZhen,JiangMen,0.9912903225806454
ShenZhen,ZhaoQing,0.5190322580645161
FoShan,GuangZhou,40.78193548387096
FoShan,ZhongShan,7.862258064516128
FoShan,ZhaoQing,7.07225806451613
FoShan,JiangMen,5.701612903225806
FoShan,ShenZhen,3.8041935483870963
FoShan,DongGuan,3.7345161290322575
FoShan,HuiZhou,1.9406451612903226
FoShan,ZhuHai,1.6848387096774196
HuiZhou,ShenZhen,33.610967741935475
HuiZhou,DongGuan,21.255806451612912
HuiZhou,GuangZhou,11.538387096774194
HuiZhou,FoShan,2.7732258064516127
HuiZhou,ZhongShan,1.1832258064516128
HuiZhou,ZhuHai,0.7412903225806452
HuiZhou,JiangMen,0.5154838709677418
HuiZhou,ZhaoQing,0.4680645161290322
GuangZhou,FoShan,24.67774193548387
GuangZhou,DongGuan,9.577419354838709
GuangZhou,ShenZhen,7.563225806451613
GuangZhou,HuiZhou,4.906129032258064
GuangZhou,ZhongShan,3.376451612903226
GuangZhou,ZhaoQing,2.7822580645161286
GuangZhou,JiangMen,2.454516129032258
GuangZhou,ZhuHai,2.2690322580645166
DongGuan,ShenZhen,32.122903225806446
DongGuan,GuangZhou,15.844193548387095
DongGuan,HuiZhou,15.00516129032258
DongGuan,FoShan,3.855483870967742
DongGuan,ZhongShan,2.138709677419354
DongGuan,JiangMen,1.0806451612903223
DongGuan,ZhuHai,1.1096774193548387
DongGuan,ZhaoQing,0.7832258064516131
