city,out_flow,in_flow,net_flow,date
ShenZhen,232.50719844000002,207.625648572,-24.881549868000036,20240210
ShenZhen,392.616598176,330.168995316,-62.44760286000002,20240211
ShenZhen,332.552239848,343.23252498,10.680285131999995,20240212
ShenZhen,318.574656288,372.870948564,54.296292275999974,20240213
ShenZhen,275.64387642,393.84787172399996,118.20399530399993,20240214
ShenZhen,274.636643688,421.95633166799996,147.31968797999997,20240215
ShenZhen,250.739617392,434.81418030000003,184.07456290800002,20240216
ShenZhen,271.49790600000006,475.274301732,203.77639573199997,20240217
GuangZhou,355.89210407999997,349.263333648,-6.628770431999953,20240210
GuangZhou,564.1827616799999,471.341586816,-92.84117486399987,20240211
GuangZhou,583.809444,516.7377666000001,-67.07167739999988,20240212
GuangZhou,573.5748435480001,556.5673551959999,-17.007488352000223,20240213
GuangZhou,534.015121356,587.2644244800001,53.24930312400011,20240214
GuangZhou,507.47910631199994,609.7578788879999,102.278772576,20240215
GuangZhou,452.56462851599997,601.0790259959999,148.51439747999996,20240216
GuangZhou,439.96125888,622.678277016,182.71701813600004,20240217
HuiZhou,148.32469224,185.11663633199998,36.791944091999994,20240210
HuiZhou,250.904856096,334.659010644,83.75415454799997,20240211
HuiZhou,254.35360151999998,311.78586581999997,57.432264299999986,20240212
HuiZhou,292.12895462399996,293.63416758,1.5052129560000367,20240213
HuiZhou,329.78008321199997,253.05417522,-76.72590799199997,20240214
HuiZhou,355.965540624,243.464778648,-112.50076197600004,20240215
HuiZhou,363.364296732,207.48819189600002,-155.876104836,20240216
HuiZhou,382.51327896000004,190.76896213199998,-191.74431682800005,20240217
FoShan,253.27711054799997,281.51222436,28.235113812000037,20240210
FoShan,409.14651571200005,371.77463300399995,-37.3718827080001,20240211
FoShan,405.02440043999997,445.86959716800004,40.845196728000076,20240212
FoShan,406.85179608,460.33234092,53.48054483999999,20240213
FoShan,379.87568892,501.039766692,121.16407777199998,20240214
FoShan,373.51508486399996,509.4289441440001,135.91385928000017,20240215
FoShan,354.901334112,478.8718360559999,123.97050194399992,20240216
FoShan,369.07888723199994,488.7002202120001,119.62133298000015,20240217
ZhongShan,153.90346161600002,83.75703523199999,-70.14642638400002,20240210
ZhongShan,221.10978240000003,142.574136768,-78.53564563200004,20240211
ZhongShan,200.61976968,148.633445124,-51.986324556,20240212
ZhongShan,211.606194636,154.08580071600002,-57.520393919999975,20240213
ZhongShan,198.08145,163.04057038800002,-35.04087961199997,20240214
ZhongShan,193.9917681,174.65203638000003,-19.339731719999975,20240215
ZhongShan,191.0667528,172.43038717199997,-18.63636562800002,20240216
ZhongShan,203.25789237600003,182.525823144,-20.732069232000043,20240217
JiangMen,81.479972304,89.3883195,7.908347195999994,20240210
JiangMen,130.341514176,180.897807708,50.556293531999984,20240211
JiangMen,177.86300112,186.10451265599997,8.241511535999962,20240212
JiangMen,191.765305872,194.56620325199998,2.800897379999981,20240213
JiangMen,223.20524041199997,168.48113237999996,-54.724108032000004,20240214
JiangMen,230.99627628000002,151.705989936,-79.29028634400001,20240215
JiangMen,217.63319306399998,119.690535816,-97.94265724799999,20240216
JiangMen,204.05776284,108.99927971999999,-95.05848312000002,20240217
ZhuHai,87.674228928,149.509664244,61.83543531599999,20240210
ZhuHai,148.888671912,217.39369129199997,68.50501937999996,20240211
ZhuHai,153.48145032,228.851394984,75.369944664,20240212
ZhuHai,166.43335842,228.993145632,62.559787212,20240213
ZhuHai,162.44814448799997,220.040219844,57.59207535600004,20240214
ZhuHai,162.316066536,207.67691444399995,45.360847907999954,20240215
ZhuHai,147.58383092399998,181.27202932799997,33.68819840399999,20240216
ZhuHai,143.323490772,171.03488320800002,27.71139243600001,20240217
ZhaoQing,49.21056504,94.14292683599997,44.932361795999974,20240210
ZhaoQing,84.341609964,271.7645661,187.42295613600004,20240211
ZhaoQing,127.60358328000001,193.12728555599998,65.52370227599997,20240212
ZhaoQing,186.968354328,175.99684633200002,-10.971507995999985,20240213
ZhaoQing,260.45312831999996,123.73345512,-136.71967319999996,20240214
ZhaoQing,315.321126372,101.273686668,-214.047439704,20240215
ZhaoQing,305.20726613999994,72.62091320399999,-232.58635293599997,20240216
ZhaoQing,349.89795504000006,76.54648327200002,-273.351471768,20240217
DongGuan,218.029934304,139.983478776,-78.046455528,20240210
DongGuan,319.324849776,200.282732244,-119.04211753200002,20240211
DongGuan,336.9273975,197.89249482,-139.03490268,20240212
DongGuan,301.890173256,212.74682886,-89.14334439600003,20240213
DongGuan,279.20819232,232.20930959999998,-46.99888272000004,20240214
DongGuan,265.96665576,260.27170776,-5.694947999999954,20240215
DongGuan,261.735478848,276.52929875999996,14.793819911999947,20240216
DongGuan,276.858687204,323.918888868,47.06020166400003,20240217
