Origin,Destination,scaled_flow
FoShan,GuangZhou,339.3745353179999
FoShan,ZhongShan,66.22954738919998
FoShan,ZhaoQing,60.427489589999986
FoShan,JiangMen,48.377649621599986
FoShan,DongGuan,29.249706657599987
FoShan,ShenZhen,26.50404453839999
FoShan,ZhuHai,12.075309932399998
FoShan,HuiZhou,10.748324808
HuiZhou,ShenZhen,162.31659423372002
HuiZhou,DongGuan,98.99838624131996
HuiZhou,GuangZhou,44.654707934280005
HuiZhou,FoShan,9.820311994079999
HuiZhou,ZhongShan,4.1769522208800005
HuiZhou,ZhuHai,2.99632094352
HuiZhou,JiangMen,2.2688904254399995
HuiZhou,ZhaoQing,1.8690923033999998
GuangZhou,FoShan,340.08861177432
GuangZhou,DongGuan,123.73132395815998
GuangZhou,ShenZhen,88.95947929487998
GuangZhou,HuiZhou,46.04503169015999
GuangZhou,ZhongShan,42.09710299128001
GuangZhou,ZhaoQing,36.53376206112
GuangZhou,JiangMen,33.372334782719996
GuangZhou,ZhuHai,27.18827459424
ZhuHai,ZhongShan,111.76033131900002
ZhuHai,GuangZhou,23.493325564800003
ZhuHai,ShenZhen,14.480437935600001
ZhuHai,JiangMen,13.620776714999998
ZhuHai,FoShan,9.519239457
ZhuHai,DongGuan,6.363941711399998
ZhuHai,HuiZhou,2.4416827344
ZhuHai,ZhaoQing,1.8548743122000004
ZhaoQing,FoShan,53.918523236159984
ZhaoQing,GuangZhou,34.581482686079994
ZhaoQing,ShenZhen,4.9209654384
ZhaoQing,DongGuan,5.52749674752
ZhaoQing,JiangMen,4.74457899168
ZhaoQing,ZhongShan,4.310105627520001
ZhaoQing,ZhuHai,2.1220479878400007
ZhaoQing,HuiZhou,1.7671108435200003
ShenZhen,DongGuan,290.87838069264006
ShenZhen,HuiZhou,175.33104017076
ShenZhen,GuangZhou,92.78181430487999
ShenZhen,FoShan,28.778163454799998
ShenZhen,ZhongShan,23.546058544439997
ShenZhen,ZhuHai,18.139444373880004
ShenZhen,JiangMen,10.226242647720001
ShenZhen,ZhaoQing,5.50180103976
DongGuan,ShenZhen,280.7249055231601
DongGuan,GuangZhou,138.50120185776004
DongGuan,HuiZhou,116.67249323099999
DongGuan,FoShan,33.350363270280006
DongGuan,ZhongShan,16.222657631039997
DongGuan,JiangMen,9.653845420800002
DongGuan,ZhuHai,8.924560359120003
DongGuan,ZhaoQing,6.7944183804
ZhongShan,ZhuHai,121.8628678176
ZhongShan,FoShan,66.4121820096
ZhongShan,GuangZhou,44.067247257600016
ZhongShan,JiangMen,39.6818769312
ZhongShan,ShenZhen,21.2990837472
ZhongShan,DongGuan,13.9395344256
ZhongShan,ZhaoQing,4.956536188799999
ZhongShan,HuiZhou,4.0341805056
JiangMen,FoShan,41.487704727120004
JiangMen,ZhongShan,36.301821714720006
JiangMen,GuangZhou,31.290830124479992
JiangMen,ZhuHai,15.50511754776
JiangMen,ShenZhen,8.886790506239999
JiangMen,DongGuan,7.410783778560002
JiangMen,ZhaoQing,4.77524051568
JiangMen,HuiZhou,2.15443169496
