Origin,Destination,scaled_flow
GuangZhou,FoShan,312.52164093036754
GuangZhou,DongGuan,115.7405759074286
GuangZhou,ShenZhen,80.43814419846116
GuangZhou,HuiZhou,40.21154278751021
GuangZhou,ZhongShan,37.87243669102042
GuangZhou,ZhaoQing,31.02076325387756
GuangZhou,JiangMen,28.561188173877557
GuangZhou,ZhuHai,23.034673555346945
ZhuHai,ZhongShan,106.23681181469387
ZhuHai,GuangZhou,20.645810909307862
ZhuHai,ShenZhen,12.895097087020407
ZhuHai,JiangMen,11.724955905306121
ZhuHai,FoShan,8.017939224000001
ZhuHai,DongGuan,5.8259846159999995
ZhuHai,HuiZhou,2.1542840669387755
ZhuHai,ZhaoQing,1.5480237967346937
DongGuan,ShenZhen,263.8308040354286
DongGuan,GuangZhou,127.05682988791838
DongGuan,HuiZhou,101.86461652555103
DongGuan,FoShan,30.174834142285718
DongGuan,ZhongShan,14.851380056326533
DongGuan,JiangMen,8.679959712734695
DongGuan,ZhuHai,7.680678920081634
DongGuan,ZhaoQing,5.95433520691129
HuiZhou,ShenZhen,156.281058736898
HuiZhou,DongGuan,94.28169044351021
HuiZhou,GuangZhou,41.04636540759185
HuiZhou,FoShan,8.879051832244903
HuiZhou,ZhongShan,3.85571120179592
HuiZhou,ZhuHai,2.5613774111020415
HuiZhou,JiangMen,2.1052417077551033
HuiZhou,ZhaoQing,1.6997877492244904
FoShan,GuangZhou,328.70302599159186
FoShan,ZhongShan,64.34030005493877
FoShan,ZhaoQing,54.44099720816327
FoShan,JiangMen,44.048968880326534
FoShan,DongGuan,27.689104656
FoShan,ShenZhen,24.477774947265303
FoShan,ZhuHai,10.502288575346938
FoShan,HuiZhou,9.789042599265303
ZhaoQing,FoShan,50.55649890832651
ZhaoQing,GuangZhou,31.5244397262857
ZhaoQing,DongGuan,5.179837294285712
ZhaoQing,JiangMen,4.263982004571428
ZhaoQing,ZhongShan,3.9415380266938778
ZhaoQing,ShenZhen,4.437715677795916
ZhaoQing,HuiZhou,1.6265189571428573
ZhaoQing,ZhuHai,1.830280672653061
ShenZhen,DongGuan,266.3693951752653
ShenZhen,HuiZhou,146.80683798538777
ShenZhen,GuangZhou,78.98239111444897
ShenZhen,ZhuHai,14.568984249061227
ShenZhen,FoShan,23.941337128163273
ShenZhen,ZhongShan,19.14906613444898
ShenZhen,JiangMen,8.679735600979596
ShenZhen,ZhaoQing,4.568071181142858
ZhongShan,ZhuHai,124.20426418971428
ZhongShan,FoShan,63.66737415085714
ZhongShan,GuangZhou,40.699842757714286
ZhongShan,JiangMen,37.09907616857143
ZhongShan,ShenZhen,19.317074579999996
ZhongShan,DongGuan,13.160810756571431
ZhongShan,HuiZhou,3.609639843428571
ZhongShan,ZhaoQing,4.312401582857142
JiangMen,FoShan,38.56852182857143
JiangMen,ZhongShan,34.40711396571429
JiangMen,GuangZhou,28.60008171428571
JiangMen,ZhuHai,14.45999657142857
JiangMen,ShenZhen,8.053237028571429
JiangMen,DongGuan,6.981747017142859
JiangMen,ZhaoQing,4.262926422857143
JiangMen,HuiZhou,1.9791853714285716
