city1,city2,scaled_flow
DongGuan,FoShan,73.988816832
DongGuan,GuangZhou,305.52761618
DongGuan,HuiZhou,264.605527736
DongGuan,JiangMen,20.430198072000003
DongGuan,ShenZhen,654.6058782560001
DongGuan,ZhaoQing,15.250538444000002
DongGuan,ZhongShan,35.3060032
DongGuan,ZhuHai,19.885157688
FoShan,GuangZhou,763.5478087919998
FoShan,HuiZhou,25.354757132000003
FoShan,JiangMen,107.60429068799999
FoShan,ShenZhen,73.085137288
FoShan,ZhaoQing,136.93978066
FoShan,ZhongShan,142.87653032
FoShan,ZhuHai,29.627701916
GuangZhou,HuiZhou,114.58181128155091
GuangZhou,JiangMen,83.890906608
GuangZhou,ShenZhen,237.35576533199998
GuangZhou,ZhaoQing,93.12450634000001
GuangZhou,ZhongShan,104.765191888
GuangZhou,ZhuHai,69.047183684
HuiZhou,JiangMen,5.248406392
HuiZhou,ShenZhen,425.298794672
HuiZhou,ZhaoQing,4.3945556759999995
HuiZhou,ZhongShan,10.072229448000002
HuiZhou,ZhuHai,7.315137079999999
JiangMen,ShenZhen,25.15965909599999
JiangMen,ZhaoQing,12.021853356
JiangMen,ZhongShan,86.447195416
JiangMen,ZhuHai,36.51296828424735
ShenZhen,ZhaoQing,14.100607049345719
ShenZhen,ZhongShan,61.769668239999994
ShenZhen,ZhuHai,46.50070960000001
ZhaoQing,ZhongShan,11.789159848
ZhaoQing,ZhuHai,5.552516144
ZhongShan,ZhuHai,238.802254636
