Origin,Destination,net_flow
DongGuan,ShenZhen,9.350955005544392
DongGuan,GuangZhou,26.645667498168564
DongGuan,HuiZhou,28.886955166788766
DongGuan,FoShan,4.59885127384808
DongGuan,ZhongShan,2.9539906827096782
DongGuan,ZhuHai,3.1749081815275773
DongGuan,JiangMen,2.0038139296108195
DongGuan,ZhaoQing,2.045574981103016
GuangZhou,HuiZhou,1.532577928907358
GuangZhou,ZhaoQing,0.6535534763163398
GuangZhou,ZhuHai,3.614272343025995
HuiZhou,ZhuHai,0.7996349743267448
HuiZhou,JiangMen,0.05409076765036547
HuiZhou,ZhaoQing,0.1853918637377734
FoShan,GuangZhou,21.64226188345475
FoShan,ZhaoQing,10.98640559219563
FoShan,JiangMen,6.690172248524483
FoShan,HuiZhou,1.6527864520957358
FoShan,ZhuHai,4.081725798817899
ShenZhen,HuiZhou,11.079660658214209
ShenZhen,GuangZhou,8.11602575947552
ShenZhen,ZhongShan,4.852793921731511
ShenZhen,FoShan,1.1947429303267434
ShenZhen,ZhuHai,3.364550906385009
ShenZhen,JiangMen,0.08533787585431796
ShenZhen,ZhaoQing,0.5365038297315241
ZhaoQing,ZhuHai,0.4495320033340282
ZhongShan,ZhuHai,19.181254948595196
ZhongShan,FoShan,1.3792906135816736
ZhongShan,GuangZhou,6.399079651404776
ZhongShan,JiangMen,4.608687493423531
ZhongShan,ZhaoQing,1.2741487913257021
ZhongShan,HuiZhou,0.04951716240999193
JiangMen,GuangZhou,2.336725668961492
JiangMen,ZhuHai,2.727324847367326
JiangMen,ZhaoQing,0.4592353994297582
