city_name,province_name,value
深圳市,广东省,35.81
广州市,广东省,17.86
惠州市,广东省,14.87
佛山市,广东省,3.97
中山市,广东省,2.07
河源市,广东省,1.37
清远市,广东省,1.27
江门市,广东省,1.2
茂名市,广东省,0.95
珠海市,广东省,0.88
肇庆市,广东省,0.84
韶关市,广东省,0.73
赣州市,江西省,0.65
汕尾市,广东省,0.64
玉林市,广西壮族自治区,0.63
梅州市,广东省,0.6
揭阳市,广东省,0.57
郴州市,湖南省,0.53
湛江市,广东省,0.49
南宁市,广西壮族自治区,0.49
永州市,湖南省,0.47
云浮市,广东省,0.45
衡阳市,湖南省,0.42
长沙市,湖南省,0.37
重庆市,重庆市,0.36
汕头市,广东省,0.36
钦州市,广西壮族自治区,0.36
阳江市,广东省,0.33
邵阳市,湖南省,0.32
贵港市,广西壮族自治区,0.32
桂林市,广西壮族自治区,0.29
梧州市,广西壮族自治区,0.27
吉安市,江西省,0.25
百色市,广西壮族自治区,0.24
武汉市,湖北省,0.21
上海市,上海市,0.18
泉州市,福建省,0.18
厦门市,福建省,0.17
潮州市,广东省,0.17
河池市,广西壮族自治区,0.17
贺州市,广西壮族自治区,0.16
成都市,四川省,0.15
岳阳市,湖南省,0.14
北京市,北京市,0.12
怀化市,湖南省,0.12
常德市,湖南省,0.12
文山壮族苗族自治州,云南省,0.12
宜春市,江西省,0.11
南阳市,河南省,0.11
柳州市,广西壮族自治区,0.11
娄底市,湖南省,0.11
南昌市,江西省,0.11
苏州市,江苏省,0.11
来宾市,广西壮族自治区,0.11
崇左市,广西壮族自治区,0.1
黔东南苗族侗族自治州,贵州省,0.1
益阳市,湖南省,0.1
杭州市,浙江省,0.1
黄冈市,湖北省,0.1
西安市,陕西省,0.09
驻马店市,河南省,0.09
黔西南布依族苗族自治州,贵州省,0.09
毕节市,贵州省,0.09
遵义市,贵州省,0.09
漳州市,福建省,0.09
株洲市,湖南省,0.09
黔南布依族苗族自治州,贵州省,0.08
信阳市,河南省,0.08
郑州市,河南省,0.08
贵阳市,贵州省,0.08
荆州市,湖北省,0.08
咸宁市,湖北省,0.07
达州市,四川省,0.07
抚州市,江西省,0.07
九江市,江西省,0.06
福州市,福建省,0.06
南京市,江苏省,0.06
昆明市,云南省,0.06
襄阳市,湖北省,0.06
铜仁市,贵州省,0.06
龙岩市,福建省,0.05
合肥市,安徽省,0.05
北海市,广西壮族自治区,0.05
孝感市,湖北省,0.05
宁波市,浙江省,0.05
温州市,浙江省,0.05
湘潭市,湖南省,0.04
上饶市,江西省,0.04
海口市,海南省,0.04
防城港市,广西壮族自治区,0.04
金华市,浙江省,0.04
萍乡市,江西省,0.04
无锡市,江苏省,0.03
红河哈尼族彝族自治州,云南省,0.03
随州市,湖北省,0.03
周口市,河南省,0.03
济南市,山东省,0.03
安顺市,贵州省,0.03
嘉兴市,浙江省,0.03
南充市,四川省,0.03
