city_name,province_name,value
广州市,广东省,45.52
中山市,广东省,9.22
肇庆市,广东省,7.07
江门市,广东省,5.87
东莞市,广东省,4.56
深圳市,广东省,3.62
清远市,广东省,3.3
惠州市,广东省,1.42
云浮市,广东省,1.42
珠海市,广东省,1.26
湛江市,广东省,0.85
韶关市,广东省,0.81
茂名市,广东省,0.79
梧州市,广西壮族自治区,0.64
贵港市,广西壮族自治区,0.63
阳江市,广东省,0.59
南宁市,广西壮族自治区,0.47
赣州市,江西省,0.39
玉林市,广西壮族自治区,0.37
长沙市,湖南省,0.37
贺州市,广西壮族自治区,0.36
桂林市,广西壮族自治区,0.35
衡阳市,湖南省,0.34
揭阳市,广东省,0.31
河源市,广东省,0.3
汕头市,广东省,0.27
重庆市,重庆市,0.27
梅州市,广东省,0.26
郴州市,湖南省,0.24
汕尾市,广东省,0.23
永州市,湖南省,0.21
上海市,上海市,0.21
北京市,北京市,0.17
柳州市,广西壮族自治区,0.17
成都市,四川省,0.17
潮州市,广东省,0.16
武汉市,湖北省,0.15
钦州市,广西壮族自治区,0.14
百色市,广西壮族自治区,0.14
杭州市,浙江省,0.13
邵阳市,湖南省,0.12
河池市,广西壮族自治区,0.11
厦门市,福建省,0.11
泉州市,福建省,0.11
贵阳市,贵州省,0.1
株洲市,湖南省,0.09
郑州市,河南省,0.09
昆明市,云南省,0.09
漳州市,福建省,0.09
岳阳市,湖南省,0.09
南昌市,江西省,0.08
娄底市,湖南省,0.08
福州市,福建省,0.08
西安市,陕西省,0.07
荆州市,湖北省,0.07
吉安市,江西省,0.07
铜仁市,贵州省,0.07
苏州市,江苏省,0.07
金华市,浙江省,0.07
温州市,浙江省,0.07
崇左市,广西壮族自治区,0.07
天津市,天津市,0.06
南京市,江苏省,0.06
宜春市,江西省,0.06
来宾市,广西壮族自治区,0.06
黔东南苗族侗族自治州,贵州省,0.06
海口市,海南省,0.06
遵义市,贵州省,0.06
九江市,江西省,0.06
怀化市,湖南省,0.06
常德市,湖南省,0.05
合肥市,安徽省,0.05
宁波市,浙江省,0.05
哈尔滨市,黑龙江省,0.05
北海市,广西壮族自治区,0.05
益阳市,湖南省,0.05
湘潭市,湖南省,0.05
黔南布依族苗族自治州,贵州省,0.04
嘉兴市,浙江省,0.04
龙岩市,福建省,0.04
石家庄市,河北省,0.04
抚州市,江西省,0.04
文山壮族苗族自治州,云南省,0.04
驻马店市,河南省,0.04
绍兴市,浙江省,0.03
长春市,吉林省,0.03
青岛市,山东省,0.03
沈阳市,辽宁省,0.03
南阳市,河南省,0.03
台州市,浙江省,0.03
无锡市,江苏省,0.03
上饶市,江西省,0.03
宜宾市,四川省,0.03
咸宁市,湖北省,0.03
湘西土家族苗族自治州,湖南省,0.03
信阳市,河南省,0.02
济南市,山东省,0.02
泸州市,四川省,0.02
黔西南布依族苗族自治州,贵州省,0.02
三亚市,海南省,0.02
