city_name,province_name,value
佛山市,广东省,30.58
东莞市,广东省,10.93
深圳市,广东省,7.34
清远市,广东省,5.12
中山市,广东省,3.58
惠州市,广东省,3.43
肇庆市,广东省,2.42
江门市,广东省,2.38
珠海市,广东省,1.81
湛江市,广东省,1.39
韶关市,广东省,1.27
茂名市,广东省,1.1
长沙市,湖南省,1
云浮市,广东省,0.87
上海市,上海市,0.78
北京市,北京市,0.76
赣州市,江西省,0.75
揭阳市,广东省,0.75
衡阳市,湖南省,0.74
汕头市,广东省,0.72
阳江市,广东省,0.69
河源市,广东省,0.68
武汉市,湖北省,0.6
梅州市,广东省,0.6
南宁市,广西壮族自治区,0.59
汕尾市,广东省,0.56
重庆市,重庆市,0.54
郴州市,湖南省,0.51
杭州市,浙江省,0.41
成都市,四川省,0.4
桂林市,广西壮族自治区,0.4
永州市,湖南省,0.37
玉林市,广西壮族自治区,0.35
梧州市,广西壮族自治区,0.34
潮州市,广东省,0.34
郑州市,河南省,0.33
南昌市,江西省,0.31
西安市,陕西省,0.28
厦门市,福建省,0.28
贵港市,广西壮族自治区,0.27
邵阳市,湖南省,0.26
昆明市,云南省,0.24
福州市,福建省,0.22
贵阳市,贵州省,0.22
贺州市,广西壮族自治区,0.22
泉州市,福建省,0.21
南京市,江苏省,0.2
海口市,海南省,0.19
岳阳市,湖南省,0.18
荆州市,湖北省,0.18
株洲市,湖南省,0.18
苏州市,江苏省,0.18
吉安市,江西省,0.17
宜春市,江西省,0.17
漳州市,福建省,0.16
驻马店市,河南省,0.16
常德市,湖南省,0.16
柳州市,广西壮族自治区,0.16
金华市,浙江省,0.16
钦州市,广西壮族自治区,0.15
青岛市,山东省,0.14
怀化市,湖南省,0.14
哈尔滨市,黑龙江省,0.14
南阳市,河南省,0.14
济南市,山东省,0.14
合肥市,安徽省,0.13
沈阳市,辽宁省,0.12
益阳市,湖南省,0.12
娄底市,湖南省,0.12
百色市,广西壮族自治区,0.12
遵义市,贵州省,0.11
湘潭市,湖南省,0.11
石家庄市,河北省,0.11
宁波市,浙江省,0.11
九江市,江西省,0.11
天津市,天津市,0.1
温州市,浙江省,0.1
黔东南苗族侗族自治州,贵州省,0.1
无锡市,江苏省,0.1
周口市,河南省,0.09
北海市,广西壮族自治区,0.09
襄阳市,湖北省,0.09
信阳市,河南省,0.09
黄冈市,湖北省,0.09
长春市,吉林省,0.08
兰州市,甘肃省,0.08
崇左市,广西壮族自治区,0.08
湘西土家族苗族自治州,湖南省,0.08
黔南布依族苗族自治州,贵州省,0.08
张家界市,湖南省,0.07
三亚市,海南省,0.07
上饶市,江西省,0.07
洛阳市,河南省,0.07
嘉兴市,浙江省,0.07
河池市,广西壮族自治区,0.07
孝感市,湖北省,0.07
大连市,辽宁省,0.07
抚州市,江西省,0.07
乌鲁木齐市,新疆维吾尔自治区,0.07
铜仁市,贵州省,0.06
