city_name,province_name,value
深圳市,广东省,34.72
东莞市,广东省,22.91
广州市,广东省,10.18
河源市,广东省,4.69
汕尾市,广东省,4.64
佛山市,广东省,2.27
中山市,广东省,1.1
梅州市,广东省,1.08
揭阳市,广东省,0.96
清远市,广东省,0.73
赣州市,江西省,0.72
汕头市,广东省,0.72
湛江市,广东省,0.62
江门市,广东省,0.59
韶关市,广东省,0.58
珠海市,广东省,0.55
茂名市,广东省,0.45
肇庆市,广东省,0.43
重庆市,重庆市,0.34
郴州市,湖南省,0.32
长沙市,湖南省,0.31
潮州市,广东省,0.28
衡阳市,湖南省,0.26
玉林市,广西壮族自治区,0.23
永州市,湖南省,0.22
南宁市,广西壮族自治区,0.22
上海市,上海市,0.21
阳江市,广东省,0.21
岳阳市,湖南省,0.2
桂林市,广西壮族自治区,0.2
吉安市,江西省,0.2
武汉市,湖北省,0.2
邵阳市,湖南省,0.19
泉州市,福建省,0.19
云浮市,广东省,0.18
漳州市,福建省,0.17
百色市,广西壮族自治区,0.15
北京市,北京市,0.14
成都市,四川省,0.14
厦门市,福建省,0.13
信阳市,河南省,0.12
梧州市,广西壮族自治区,0.11
贵港市,广西壮族自治区,0.11
南昌市,江西省,0.1
铜仁市,贵州省,0.1
黄冈市,湖北省,0.1
常德市,湖南省,0.1
怀化市,湖南省,0.1
钦州市,广西壮族自治区,0.1
南阳市,河南省,0.1
驻马店市,河南省,0.09
贺州市,广西壮族自治区,0.09
株洲市,湖南省,0.09
宜春市,江西省,0.08
苏州市,江苏省,0.08
柳州市,广西壮族自治区,0.08
黔东南苗族侗族自治州,贵州省,0.08
昆明市,云南省,0.08
郑州市,河南省,0.08
杭州市,浙江省,0.07
合肥市,安徽省,0.07
南充市,四川省,0.07
遵义市,贵州省,0.07
海口市,海南省,0.07
文山壮族苗族自治州,云南省,0.07
河池市,广西壮族自治区,0.07
抚州市,江西省,0.07
九江市,江西省,0.07
周口市,河南省,0.07
龙岩市,福建省,0.07
益阳市,湖南省,0.07
阜阳市,安徽省,0.06
福州市,福建省,0.06
黔南布依族苗族自治州,贵州省,0.06
娄底市,湖南省,0.06
黔西南布依族苗族自治州,贵州省,0.06
达州市,四川省,0.06
贵阳市,贵州省,0.06
金华市,浙江省,0.06
宁波市,浙江省,0.05
温州市,浙江省,0.05
湘潭市,湖南省,0.05
咸宁市,湖北省,0.05
南京市,江苏省,0.05
来宾市,广西壮族自治区,0.05
安顺市,贵州省,0.05
襄阳市,湖北省,0.05
西安市,陕西省,0.05
毕节市,贵州省,0.05
曲靖市,云南省,0.05
无锡市,江苏省,0.04
荆州市,湖北省,0.04
北海市,广西壮族自治区,0.04
三明市,福建省,0.04
恩施土家族苗族自治州,湖北省,0.04
兰州市,甘肃省,0.04
湘西土家族苗族自治州,湖南省,0.04
黄石市,湖北省,0.04
上饶市,江西省,0.04
崇左市,广西壮族自治区,0.04
