city_name,province_name,value
佛山市,广东省,19.59
中山市,广东省,19.41
广州市,广东省,15.14
珠海市,广东省,6.95
深圳市,广东省,5.78
阳江市,广东省,4.08
东莞市,广东省,3.9
云浮市,广东省,2.16
肇庆市,广东省,2.1
茂名市,广东省,1.58
清远市,广东省,1.38
惠州市,广东省,1.26
湛江市,广东省,1.12
贵港市,广西壮族自治区,0.68
梧州市,广西壮族自治区,0.67
韶关市,广东省,0.49
南宁市,广西壮族自治区,0.48
玉林市,广西壮族自治区,0.48
汕头市,广东省,0.39
桂林市,广西壮族自治区,0.39
贺州市,广西壮族自治区,0.36
长沙市,湖南省,0.36
铜仁市,贵州省,0.32
郴州市,湖南省,0.31
永州市,湖南省,0.31
河源市,广东省,0.3
揭阳市,广东省,0.3
百色市,广西壮族自治区,0.29
重庆市,重庆市,0.29
衡阳市,湖南省,0.28
文山壮族苗族自治州,云南省,0.26
赣州市,江西省,0.24
梅州市,广东省,0.24
钦州市,广西壮族自治区,0.23
河池市,广西壮族自治区,0.21
汕尾市,广东省,0.21
北京市,北京市,0.2
柳州市,广西壮族自治区,0.17
来宾市,广西壮族自治区,0.16
成都市,四川省,0.15
常德市,湖南省,0.15
潮州市,广东省,0.15
武汉市,湖北省,0.14
上海市,上海市,0.13
湘西土家族苗族自治州,湖南省,0.12
邵阳市,湖南省,0.12
岳阳市,湖南省,0.11
厦门市,福建省,0.11
娄底市,湖南省,0.1
黔东南苗族侗族自治州,贵州省,0.1
南阳市,河南省,0.1
吉安市,江西省,0.1
遵义市,贵州省,0.09
益阳市,湖南省,0.09
泉州市,福建省,0.09
贵阳市,贵州省,0.09
昆明市,云南省,0.09
黔南布依族苗族自治州,贵州省,0.08
杭州市,浙江省,0.08
崇左市,广西壮族自治区,0.07
荆州市,湖北省,0.07
怀化市,湖南省,0.06
株洲市,湖南省,0.06
宜春市,江西省,0.05
北海市,广西壮族自治区,0.05
郑州市,河南省,0.05
驻马店市,河南省,0.05
漳州市,福建省,0.05
海口市,海南省,0.05
咸宁市,湖北省,0.05
西安市,陕西省,0.05
南昌市,江西省,0.05
黄冈市,湖北省,0.04
防城港市,广西壮族自治区,0.04
毕节市,贵州省,0.04
温州市,浙江省,0.04
青岛市,山东省,0.04
抚州市,江西省,0.04
苏州市,江苏省,0.04
黔西南布依族苗族自治州,贵州省,0.04
福州市,福建省,0.04
洛阳市,河南省,0.04
张家界市,湖南省,0.04
上饶市,江西省,0.03
周口市,河南省,0.03
泸州市,四川省,0.03
九江市,江西省,0.03
南京市,江苏省,0.03
湘潭市,湖南省,0.03
乌鲁木齐市,新疆维吾尔自治区,0.03
信阳市,河南省,0.03
合肥市,安徽省,0.03
宁波市,浙江省,0.03
随州市,湖北省,0.03
萍乡市,江西省,0.03
安庆市,安徽省,0.02
昭通市,云南省,0.02
襄阳市,湖北省,0.02
商丘市,河南省,0.02
宜宾市,四川省,0.02
