city_name,province_name,value
东莞市,广东省,24.88
惠州市,广东省,15.88
广州市,广东省,8.11
佛山市,广东省,2.63
中山市,广东省,2.38
汕尾市,广东省,1.79
珠海市,广东省,1.74
河源市,广东省,1.68
梅州市,广东省,1.35
揭阳市,广东省,1.23
汕头市,广东省,1.05
茂名市,广东省,1.03
长沙市,湖南省,1.01
湛江市,广东省,0.99
江门市,广东省,0.93
赣州市,江西省,0.88
重庆市,重庆市,0.83
衡阳市,湖南省,0.83
清远市,广东省,0.83
上海市,上海市,0.68
南宁市,广西壮族自治区,0.65
桂林市,广西壮族自治区,0.63
郴州市,湖南省,0.61
北京市,北京市,0.61
玉林市,广西壮族自治区,0.6
邵阳市,湖南省,0.59
吉安市,江西省,0.58
韶关市,广东省,0.56
武汉市,湖北省,0.56
肇庆市,广东省,0.51
永州市,湖南省,0.5
株洲市,湖南省,0.46
成都市,四川省,0.46
潮州市,广东省,0.43
阳江市,广东省,0.4
厦门市,福建省,0.38
百色市,广西壮族自治区,0.38
贵阳市,贵州省,0.38
杭州市,浙江省,0.35
南昌市,江西省,0.34
云浮市,广东省,0.32
黄冈市,湖北省,0.32
西安市,陕西省,0.31
泉州市,福建省,0.31
贵港市,广西壮族自治区,0.31
宜春市,江西省,0.31
岳阳市,湖南省,0.29
怀化市,湖南省,0.28
九江市,江西省,0.27
常德市,湖南省,0.25
南阳市,河南省,0.24
娄底市,湖南省,0.24
郑州市,河南省,0.24
驻马店市,河南省,0.23
崇左市,广西壮族自治区,0.23
昆明市,云南省,0.22
苏州市,江苏省,0.22
梧州市,广西壮族自治区,0.21
贺州市,广西壮族自治区,0.21
荆州市,湖北省,0.21
益阳市,湖南省,0.21
河池市,广西壮族自治区,0.2
南京市,江苏省,0.2
抚州市,江西省,0.19
福州市,福建省,0.19
襄阳市,湖北省,0.18
柳州市,广西壮族自治区,0.18
黔东南苗族侗族自治州,贵州省,0.16
漳州市,福建省,0.16
钦州市,广西壮族自治区,0.16
湘潭市,湖南省,0.16
信阳市,河南省,0.16
合肥市,安徽省,0.15
上饶市,江西省,0.15
咸宁市,湖北省,0.15
孝感市,湖北省,0.14
海口市,海南省,0.13
萍乡市,江西省,0.12
黔南布依族苗族自治州,贵州省,0.12
毕节市,贵州省,0.12
龙岩市,福建省,0.11
周口市,河南省,0.11
宁波市,浙江省,0.11
来宾市,广西壮族自治区,0.11
遵义市,贵州省,0.11
南充市,四川省,0.11
达州市,四川省,0.1
温州市,浙江省,0.1
济南市,山东省,0.1
青岛市,山东省,0.09
天津市,天津市,0.09
莆田市,福建省,0.09
新余市,江西省,0.09
文山壮族苗族自治州,云南省,0.09
哈尔滨市,黑龙江省,0.08
宜昌市,湖北省,0.08
黔西南布依族苗族自治州,贵州省,0.08
北海市,广西壮族自治区,0.08
沈阳市,辽宁省,0.08
黄石市,湖北省,0.08
