city_name,province_name,value
佛山市,广东省,40.01
广州市,广东省,19.95
云浮市,广东省,6.8
中山市,广东省,5.01
东莞市,广东省,4.14
深圳市,广东省,2.97
清远市,广东省,2.67
江门市,广东省,2.51
梧州市,广西壮族自治区,1.81
贺州市,广西壮族自治区,1.2
珠海市,广东省,1.09
惠州市,广东省,0.9
茂名市,广东省,0.74
贵港市,广西壮族自治区,0.51
湛江市,广东省,0.48
阳江市,广东省,0.47
桂林市,广西壮族自治区,0.38
南宁市,广西壮族自治区,0.36
韶关市,广东省,0.31
玉林市,广西壮族自治区,0.3
柳州市,广西壮族自治区,0.25
长沙市,湖南省,0.24
永州市,湖南省,0.22
梅州市,广东省,0.21
汕头市,广东省,0.18
揭阳市,广东省,0.17
郴州市,湖南省,0.16
赣州市,江西省,0.15
河源市,广东省,0.15
重庆市,重庆市,0.15
衡阳市,湖南省,0.13
汕尾市,广东省,0.13
百色市,广西壮族自治区,0.12
钦州市,广西壮族自治区,0.12
潮州市,广东省,0.12
上海市,上海市,0.12
来宾市,广西壮族自治区,0.11
北京市,北京市,0.1
成都市,四川省,0.1
武汉市,湖北省,0.09
厦门市,福建省,0.09
河池市,广西壮族自治区,0.09
泉州市,福建省,0.08
莆田市,福建省,0.07
昆明市,云南省,0.07
杭州市,浙江省,0.07
贵阳市,贵州省,0.07
铜仁市,贵州省,0.07
宜春市,江西省,0.07
红河哈尼族彝族自治州,云南省,0.06
北海市,广西壮族自治区,0.05
海口市,海南省,0.05
黔东南苗族侗族自治州,贵州省,0.05
合肥市,安徽省,0.05
郑州市,河南省,0.05
福州市,福建省,0.05
邵阳市,湖南省,0.05
娄底市,湖南省,0.04
信阳市,河南省,0.04
益阳市,湖南省,0.04
金华市,浙江省,0.04
西安市,陕西省,0.04
南阳市,河南省,0.04
荆门市,湖北省,0.04
温州市,浙江省,0.04
遵义市,贵州省,0.04
张家界市,湖南省,0.04
南昌市,江西省,0.04
黔南布依族苗族自治州,贵州省,0.03
怀化市,湖南省,0.03
毕节市,贵州省,0.03
崇左市,广西壮族自治区,0.03
常德市,湖南省,0.03
株洲市,湖南省,0.03
天津市,天津市,0.03
文山壮族苗族自治州,云南省,0.03
孝感市,湖北省,0.03
岳阳市,湖南省,0.03
南京市,江苏省,0.03
湘西土家族苗族自治州,湖南省,0.03
漳州市,福建省,0.03
荆州市,湖北省,0.02
驻马店市,河南省,0.02
周口市,河南省,0.02
恩施土家族苗族自治州,湖北省,0.02
湘潭市,湖南省,0.02
吉安市,江西省,0.02
九江市,江西省,0.02
宁波市,浙江省,0.02
南充市,四川省,0.02
绍兴市,浙江省,0.02
黔西南布依族苗族自治州,贵州省,0.02
泸州市,四川省,0.02
南平市,福建省,0.02
沈阳市,辽宁省,0.02
龙岩市,福建省,0.02
苏州市,江苏省,0.02
宁德市,福建省,0.02
德宏傣族景颇族自治州,云南省,0.01
宜昌市,湖北省,0.01
