city_name,province_name,value
珠海市,广东省,31.6
佛山市,广东省,12.53
广州市,广东省,9.67
江门市,广东省,7.68
深圳市,广东省,3.76
贵港市,广西壮族自治区,3.51
东莞市,广东省,3.23
湛江市,广东省,1.75
肇庆市,广东省,1.33
梧州市,广西壮族自治区,1.33
衡阳市,湖南省,1.24
钦州市,广西壮族自治区,1.09
玉林市,广西壮族自治区,1.04
南宁市,广西壮族自治区,0.92
阳江市,广东省,0.84
贺州市,广西壮族自治区,0.83
永州市,湖南省,0.77
清远市,广东省,0.77
惠州市,广东省,0.75
茂名市,广东省,0.73
郴州市,湖南省,0.72
赣州市,江西省,0.64
云浮市,广东省,0.61
来宾市,广西壮族自治区,0.58
邵阳市,湖南省,0.44
韶关市,广东省,0.43
河池市,广西壮族自治区,0.42
揭阳市,广东省,0.4
桂林市,广西壮族自治区,0.38
汕尾市,广东省,0.27
梅州市,广东省,0.27
潮州市,广东省,0.26
柳州市,广西壮族自治区,0.23
汕头市,广东省,0.22
长沙市,湖南省,0.21
百色市,广西壮族自治区,0.2
吉安市,江西省,0.19
重庆市,重庆市,0.16
河源市,广东省,0.16
随州市,湖北省,0.14
上饶市,江西省,0.14
宜春市,江西省,0.13
武汉市,湖北省,0.12
常德市,湖南省,0.12
娄底市,湖南省,0.12
怀化市,湖南省,0.11
信阳市,河南省,0.11
泸州市,四川省,0.11
黔东南苗族侗族自治州,贵州省,0.1
泉州市,福建省,0.1
黄冈市,湖北省,0.1
铜仁市,贵州省,0.1
宜宾市,四川省,0.09
株洲市,湖南省,0.09
岳阳市,湖南省,0.09
北海市,广西壮族自治区,0.09
孝感市,湖北省,0.08
上海市,上海市,0.08
崇左市,广西壮族自治区,0.08
九江市,江西省,0.07
荆州市,湖北省,0.06
益阳市,湖南省,0.06
温州市,浙江省,0.06
抚州市,江西省,0.06
漳州市,福建省,0.06
成都市,四川省,0.06
南昌市,江西省,0.06
黔南布依族苗族自治州,贵州省,0.05
襄阳市,湖北省,0.05
驻马店市,河南省,0.05
咸宁市,湖北省,0.05
郑州市,河南省,0.05
贵阳市,贵州省,0.05
杭州市,浙江省,0.04
北京市,北京市,0.04
湘潭市,湖南省,0.04
文山壮族苗族自治州,云南省,0.04
福州市,福建省,0.04
南阳市,河南省,0.04
遵义市,贵州省,0.04
萍乡市,江西省,0.04
厦门市,福建省,0.04
西安市,陕西省,0.03
宁波市,浙江省,0.03
昆明市,云南省,0.03
金华市,浙江省,0.03
海口市,海南省,0.02
合肥市,安徽省,0.02
毕节市,贵州省,0.02
防城港市,广西壮族自治区,0.02
恩施土家族苗族自治州,湖北省,0.02
天津市,天津市,0.02
南平市,福建省,0.02
黄石市,湖北省,0.02
张家界市,湖南省,0.02
漯河市,河南省,0.02
沈阳市,辽宁省,0.02
南京市,江苏省,0.02
台州市,浙江省,0.02
太原市,山西省,0.02
