city_name,province_name,value
中山市,广东省,42.16
广州市,广东省,9.59
江门市,广东省,6.74
深圳市,广东省,6.63
佛山市,广东省,4.45
东莞市,广东省,2.77
惠州市,广东省,0.94
肇庆市,广东省,0.94
阳江市,广东省,0.89
茂名市,广东省,0.78
湛江市,广东省,0.75
清远市,广东省,0.58
北京市,北京市,0.41
云浮市,广东省,0.4
韶关市,广东省,0.36
上海市,上海市,0.35
重庆市,重庆市,0.33
长沙市,湖南省,0.28
汕尾市,广东省,0.25
武汉市,湖北省,0.24
成都市,四川省,0.23
梧州市,广西壮族自治区,0.23
桂林市,广西壮族自治区,0.22
汕头市,广东省,0.22
揭阳市,广东省,0.22
梅州市,广东省,0.21
南宁市,广西壮族自治区,0.19
郴州市,湖南省,0.17
西安市,陕西省,0.17
赣州市,江西省,0.16
郑州市,河南省,0.16
河源市,广东省,0.16
衡阳市,湖南省,0.14
永州市,湖南省,0.13
贺州市,广西壮族自治区,0.12
玉林市,广西壮族自治区,0.12
海口市,海南省,0.11
杭州市,浙江省,0.11
贵港市,广西壮族自治区,0.11
南京市,江苏省,0.11
厦门市,福建省,0.11
邵阳市,湖南省,0.1
潮州市,广东省,0.09
昆明市,云南省,0.09
苏州市,江苏省,0.08
岳阳市,湖南省,0.08
天津市,天津市,0.08
贵阳市,贵州省,0.08
龙岩市,福建省,0.08
福州市,福建省,0.08
南昌市,江西省,0.07
常德市,湖南省,0.07
丽江市,云南省,0.07
合肥市,安徽省,0.07
吉安市,江西省,0.06
哈尔滨市,黑龙江省,0.06
温州市,浙江省,0.06
石家庄市,河北省,0.06
太原市,山西省,0.06
娄底市,湖南省,0.06
沈阳市,辽宁省,0.06
泉州市,福建省,0.05
宁波市,浙江省,0.05
柳州市,广西壮族自治区,0.05
北海市,广西壮族自治区,0.05
遵义市,贵州省,0.05
宜春市,江西省,0.05
株洲市,湖南省,0.05
益阳市,湖南省,0.05
文山壮族苗族自治州,云南省,0.05
信阳市,河南省,0.05
钦州市,广西壮族自治区,0.05
来宾市,广西壮族自治区,0.04
怀化市,湖南省,0.04
湘潭市,湖南省,0.04
儋州市,海南省,0.04
萍乡市,江西省,0.04
百色市,广西壮族自治区,0.04
洛阳市,河南省,0.04
青岛市,山东省,0.03
三亚市,海南省,0.03
驻马店市,河南省,0.03
咸阳市,陕西省,0.03
襄阳市,湖北省,0.03
九江市,江西省,0.03
无锡市,江苏省,0.03
长春市,吉林省,0.03
南充市,四川省,0.03
大连市,辽宁省,0.03
荆州市,湖北省,0.03
漳州市,福建省,0.03
泸州市,四川省,0.03
黔东南苗族侗族自治州,贵州省,0.02
张家界市,湖南省,0.02
芜湖市,安徽省,0.02
济南市,山东省,0.02
铜仁市,贵州省,0.02
周口市,河南省,0.02
安顺市,贵州省,0.02
扬州市,江苏省,0.02
