city_name,province_name,value
深圳市,广东省,34.45
广州市,广东省,16.36
惠州市,广东省,13.58
佛山市,广东省,3.91
中山市,广东省,2.06
河源市,广东省,1.17
茂名市,广东省,1.12
清远市,广东省,1.09
江门市,广东省,1.04
肇庆市,广东省,0.91
珠海市,广东省,0.86
玉林市,广西壮族自治区,0.8
揭阳市,广东省,0.72
汕尾市,广东省,0.72
赣州市,江西省,0.7
湛江市,广东省,0.7
韶关市,广东省,0.69
郴州市,湖南省,0.64
梅州市,广东省,0.63
永州市,湖南省,0.62
贵港市,广西壮族自治区,0.54
衡阳市,湖南省,0.53
南宁市,广西壮族自治区,0.5
邵阳市,湖南省,0.49
云浮市,广东省,0.47
重庆市,重庆市,0.47
阳江市,广东省,0.47
长沙市,湖南省,0.45
钦州市,广西壮族自治区,0.44
梧州市,广西壮族自治区,0.41
汕头市,广东省,0.36
上海市,上海市,0.3
桂林市,广西壮族自治区,0.29
吉安市,江西省,0.28
百色市,广西壮族自治区,0.28
岳阳市,湖南省,0.22
贺州市,广西壮族自治区,0.21
河池市,广西壮族自治区,0.21
武汉市,湖北省,0.19
成都市,四川省,0.19
常德市,湖南省,0.19
南阳市,河南省,0.18
驻马店市,河南省,0.17
黄冈市,湖北省,0.17
黔东南苗族侗族自治州,贵州省,0.16
北京市,北京市,0.16
泉州市,福建省,0.15
怀化市,湖南省,0.15
厦门市,福建省,0.15
信阳市,河南省,0.15
株洲市,湖南省,0.14
苏州市,江苏省,0.14
娄底市,湖南省,0.14
杭州市,浙江省,0.13
柳州市,广西壮族自治区,0.13
文山壮族苗族自治州,云南省,0.13
潮州市,广东省,0.13
荆州市,湖北省,0.13
益阳市,湖南省,0.12
毕节市,贵州省,0.12
宜春市,江西省,0.12
南昌市,江西省,0.12
遵义市,贵州省,0.12
咸宁市,湖北省,0.11
襄阳市,湖北省,0.11
西安市,陕西省,0.11
黔南布依族苗族自治州,贵州省,0.11
漳州市,福建省,0.1
金华市,浙江省,0.1
来宾市,广西壮族自治区,0.1
崇左市,广西壮族自治区,0.1
贵阳市,贵州省,0.1
黔西南布依族苗族自治州,贵州省,0.1
郑州市,河南省,0.1
达州市,四川省,0.1
周口市,河南省,0.09
昆明市,云南省,0.09
福州市,福建省,0.09
九江市,江西省,0.08
阜阳市,安徽省,0.07
北海市,广西壮族自治区,0.07
湘潭市,湖南省,0.07
温州市,浙江省,0.07
孝感市,湖北省,0.07
宁波市,浙江省,0.07
合肥市,安徽省,0.06
抚州市,江西省,0.06
铜仁市,贵州省,0.06
萍乡市,江西省,0.06
随州市,湖北省,0.05
南京市,江苏省,0.05
上饶市,江西省,0.05
龙岩市,福建省,0.05
无锡市,江苏省,0.05
广安市,四川省,0.05
嘉兴市,浙江省,0.05
恩施土家族苗族自治州,湖北省,0.05
张家界市,湖南省,0.04
南充市,四川省,0.04
海口市,海南省,0.04
