city_name,province_name,value
广州市,广东省,45.9
中山市,广东省,9.08
肇庆市,广东省,7.59
江门市,广东省,6.06
东莞市,广东省,4.16
深圳市,广东省,3.36
清远市,广东省,3.12
云浮市,广东省,1.71
珠海市,广东省,1.43
惠州市,广东省,1.37
湛江市,广东省,0.71
贵港市,广西壮族自治区,0.71
韶关市,广东省,0.69
梧州市,广西壮族自治区,0.68
阳江市,广东省,0.68
茂名市,广东省,0.66
南宁市,广西壮族自治区,0.5
长沙市,湖南省,0.41
桂林市,广西壮族自治区,0.4
玉林市,广西壮族自治区,0.39
赣州市,江西省,0.38
贺州市,广西壮族自治区,0.33
衡阳市,湖南省,0.31
河源市,广东省,0.3
揭阳市,广东省,0.26
汕头市,广东省,0.26
重庆市,重庆市,0.26
梅州市,广东省,0.25
郴州市,湖南省,0.25
汕尾市,广东省,0.24
武汉市,湖北省,0.2
上海市,上海市,0.2
永州市,湖南省,0.19
百色市,广西壮族自治区,0.18
柳州市,广西壮族自治区,0.16
钦州市,广西壮族自治区,0.16
成都市,四川省,0.15
北京市,北京市,0.15
厦门市,福建省,0.12
潮州市,广东省,0.12
河池市,广西壮族自治区,0.12
贵阳市,贵州省,0.11
黔东南苗族侗族自治州,贵州省,0.11
泉州市,福建省,0.11
南昌市,江西省,0.1
杭州市,浙江省,0.1
株洲市,湖南省,0.1
岳阳市,湖南省,0.1
郑州市,河南省,0.09
漳州市,福建省,0.09
吉安市,江西省,0.09
铜仁市,贵州省,0.09
邵阳市,湖南省,0.09
昆明市,云南省,0.08
北海市,广西壮族自治区,0.08
福州市,福建省,0.07
宜春市,江西省,0.07
遵义市,贵州省,0.07
苏州市,江苏省,0.07
娄底市,湖南省,0.07
温州市,浙江省,0.06
怀化市,湖南省,0.06
崇左市,广西壮族自治区,0.06
荆州市,湖北省,0.05
海口市,海南省,0.05
九江市,江西省,0.05
来宾市,广西壮族自治区,0.05
合肥市,安徽省,0.05
黔南布依族苗族自治州,贵州省,0.05
南京市,江苏省,0.05
湘潭市,湖南省,0.05
常德市,湖南省,0.05
抚州市,江西省,0.04
益阳市,湖南省,0.04
南阳市,河南省,0.04
天津市,天津市,0.04
文山壮族苗族自治州,云南省,0.04
金华市,浙江省,0.04
宁波市,浙江省,0.04
西安市,陕西省,0.04
石家庄市,河北省,0.04
毕节市,贵州省,0.04
无锡市,江苏省,0.04
青岛市,山东省,0.03
泸州市,四川省,0.03
黄冈市,湖北省,0.03
驻马店市,河南省,0.03
湘西土家族苗族自治州,湖南省,0.03
绍兴市,浙江省,0.03
洛阳市,河南省,0.03
沈阳市,辽宁省,0.03
宜昌市,湖北省,0.03
信阳市,河南省,0.03
黔西南布依族苗族自治州,贵州省,0.03
周口市,河南省,0.02
恩施土家族苗族自治州,湖北省,0.02
龙岩市,福建省,0.02
南充市,四川省,0.02
临沂市,山东省,0.02
上饶市,江西省,0.02
