city_name,province_name,value
佛山市,广东省,29.65
东莞市,广东省,10.63
深圳市,广东省,7.55
清远市,广东省,7.2
惠州市,广东省,3.96
中山市,广东省,3.5
肇庆市,广东省,3.2
江门市,广东省,2.72
珠海市,广东省,1.86
韶关市,广东省,1.82
茂名市,广东省,1.42
湛江市,广东省,1.27
衡阳市,湖南省,1.04
云浮市,广东省,0.99
汕头市,广东省,0.92
揭阳市,广东省,0.85
阳江市,广东省,0.85
河源市,广东省,0.84
梅州市,广东省,0.83
长沙市,湖南省,0.79
赣州市,江西省,0.76
汕尾市,广东省,0.71
郴州市,湖南省,0.68
北京市,北京市,0.54
南宁市,广西壮族自治区,0.54
桂林市,广西壮族自治区,0.48
武汉市,湖北省,0.45
重庆市,重庆市,0.45
永州市,湖南省,0.43
贵港市,广西壮族自治区,0.41
梧州市,广西壮族自治区,0.4
玉林市,广西壮族自治区,0.38
上海市,上海市,0.36
贺州市,广西壮族自治区,0.33
潮州市,广东省,0.33
成都市,四川省,0.32
邵阳市,湖南省,0.25
钦州市,广西壮族自治区,0.23
杭州市,浙江省,0.22
贵阳市,贵州省,0.19
南昌市,江西省,0.18
厦门市,福建省,0.18
南京市,江苏省,0.18
昆明市,云南省,0.17
株洲市,湖南省,0.17
柳州市,广西壮族自治区,0.17
岳阳市,湖南省,0.16
郑州市,河南省,0.16
西安市,陕西省,0.16
吉安市,江西省,0.15
海口市,海南省,0.14
漳州市,福建省,0.14
泉州市,福建省,0.14
荆州市,湖北省,0.13
常德市,湖南省,0.13
宜春市,江西省,0.13
苏州市,江苏省,0.12
合肥市,安徽省,0.12
百色市,广西壮族自治区,0.11
娄底市,湖南省,0.11
黔东南苗族侗族自治州,贵州省,0.11
福州市,福建省,0.1
天津市,天津市,0.1
遵义市,贵州省,0.1
湘潭市,湖南省,0.09
益阳市,湖南省,0.09
三亚市,海南省,0.08
北海市,广西壮族自治区,0.08
青岛市,山东省,0.08
河池市,广西壮族自治区,0.08
怀化市,湖南省,0.08
来宾市,广西壮族自治区,0.08
宁波市,浙江省,0.08
金华市,浙江省,0.07
九江市,江西省,0.07
济南市,山东省,0.07
驻马店市,河南省,0.07
黔南布依族苗族自治州,贵州省,0.07
黄冈市,湖北省,0.06
南阳市,河南省,0.06
石家庄市,河北省,0.06
上饶市,江西省,0.06
抚州市,江西省,0.06
哈尔滨市,黑龙江省,0.05
铜仁市,贵州省,0.05
龙岩市,福建省,0.05
崇左市,广西壮族自治区,0.05
张家界市,湖南省,0.05
沈阳市,辽宁省,0.05
无锡市,江苏省,0.05
信阳市,河南省,0.05
仙桃市,湖北省,0.05
文山壮族苗族自治州,云南省,0.05
宜昌市,湖北省,0.04
天门市,湖北省,0.04
乌鲁木齐市,新疆维吾尔自治区,0.04
嘉兴市,浙江省,0.04
咸宁市,湖北省,0.04
萍乡市,江西省,0.04
温州市,浙江省,0.04
