city_name,province_name,value
深圳市,广东省,33.08
东莞市,广东省,22.64
广州市,广东省,10.55
河源市,广东省,6.64
汕尾市,广东省,3.64
佛山市,广东省,3.16
梅州市,广东省,1.31
揭阳市,广东省,1.23
中山市,广东省,1.04
韶关市,广东省,0.99
清远市,广东省,0.9
汕头市,广东省,0.88
珠海市,广东省,0.75
潮州市,广东省,0.69
赣州市,江西省,0.68
江门市,广东省,0.57
肇庆市,广东省,0.48
茂名市,广东省,0.45
长沙市,湖南省,0.31
云浮市,广东省,0.26
郴州市,湖南省,0.26
重庆市,重庆市,0.24
湛江市,广东省,0.23
武汉市,湖北省,0.21
衡阳市,湖南省,0.21
玉林市,广西壮族自治区,0.2
厦门市,福建省,0.19
漳州市,福建省,0.17
上海市,上海市,0.17
河池市,广西壮族自治区,0.17
泉州市,福建省,0.17
永州市,湖南省,0.16
桂林市,广西壮族自治区,0.16
阳江市,广东省,0.16
吉安市,江西省,0.16
南宁市,广西壮族自治区,0.15
南昌市,江西省,0.14
柳州市,广西壮族自治区,0.14
邵阳市,湖南省,0.13
昆明市,云南省,0.12
百色市,广西壮族自治区,0.12
北京市,北京市,0.11
贵阳市,贵州省,0.11
梧州市,广西壮族自治区,0.1
西安市,陕西省,0.1
成都市,四川省,0.1
常德市,湖南省,0.09
苏州市,江苏省,0.09
信阳市,河南省,0.09
贺州市,广西壮族自治区,0.09
岳阳市,湖南省,0.09
株洲市,湖南省,0.09
贵港市,广西壮族自治区,0.09
福州市,福建省,0.08
宜春市,江西省,0.08
南阳市,河南省,0.08
杭州市,浙江省,0.08
郑州市,河南省,0.07
温州市,浙江省,0.07
怀化市,湖南省,0.06
益阳市,湖南省,0.06
龙岩市,福建省,0.06
金华市,浙江省,0.06
南京市,江苏省,0.06
来宾市,广西壮族自治区,0.06
九江市,江西省,0.05
抚州市,江西省,0.05
遵义市,贵州省,0.05
黔东南苗族侗族自治州,贵州省,0.05
上饶市,江西省,0.05
娄底市,湖南省,0.05
合肥市,安徽省,0.04
毕节市,贵州省,0.04
黄冈市,湖北省,0.04
驻马店市,河南省,0.04
黔南布依族苗族自治州,贵州省,0.04
宁波市,浙江省,0.04
铜仁市,贵州省,0.04
周口市,河南省,0.04
襄阳市,湖北省,0.04
钦州市,广西壮族自治区,0.04
黔西南布依族苗族自治州,贵州省,0.04
无锡市,江苏省,0.04
荆州市,湖北省,0.03
文山壮族苗族自治州,云南省,0.03
天津市,天津市,0.03
湘潭市,湖南省,0.03
台州市,浙江省,0.03
达州市,四川省,0.03
阜阳市,安徽省,0.03
黄石市,湖北省,0.03
海口市,海南省,0.03
廊坊市,河北省,0.03
商丘市,河南省,0.03
咸宁市,湖北省,0.02
萍乡市,江西省,0.02
红河哈尼族彝族自治州,云南省,0.02
曲靖市,云南省,0.02
青岛市,山东省,0.02
孝感市,湖北省,0.02
