city_name,province_name,value
佛山市,广东省,20.79
中山市,广东省,19.2
广州市,广东省,15.74
珠海市,广东省,8.11
东莞市,广东省,4
阳江市,广东省,3.78
深圳市,广东省,3.72
肇庆市,广东省,2.47
云浮市,广东省,2.42
茂名市,广东省,1.36
湛江市,广东省,1.28
惠州市,广东省,1.17
清远市,广东省,1.03
韶关市,广东省,0.58
贵港市,广西壮族自治区,0.53
梧州市,广西壮族自治区,0.49
桂林市,广西壮族自治区,0.44
玉林市,广西壮族自治区,0.44
南宁市,广西壮族自治区,0.36
长沙市,湖南省,0.35
百色市,广西壮族自治区,0.3
武汉市,湖北省,0.29
重庆市,重庆市,0.28
赣州市,江西省,0.25
上海市,上海市,0.24
永州市,湖南省,0.23
柳州市,广西壮族自治区,0.22
铜仁市,贵州省,0.2
河源市,广东省,0.2
汕头市,广东省,0.2
贺州市,广西壮族自治区,0.2
郴州市,湖南省,0.19
衡阳市,湖南省,0.19
河池市,广西壮族自治区,0.19
汕尾市,广东省,0.18
揭阳市,广东省,0.18
潮州市,广东省,0.18
梅州市,广东省,0.17
成都市,四川省,0.15
钦州市,广西壮族自治区,0.14
文山壮族苗族自治州,云南省,0.14
北京市,北京市,0.14
来宾市,广西壮族自治区,0.14
杭州市,浙江省,0.12
黔南布依族苗族自治州,贵州省,0.11
邵阳市,湖南省,0.11
昆明市,云南省,0.11
岳阳市,湖南省,0.1
北海市,广西壮族自治区,0.1
郑州市,河南省,0.1
防城港市,广西壮族自治区,0.1
厦门市,福建省,0.09
泉州市,福建省,0.08
贵阳市,贵州省,0.08
黔东南苗族侗族自治州,贵州省,0.08
漳州市,福建省,0.08
株洲市,湖南省,0.08
遵义市,贵州省,0.07
娄底市,湖南省,0.07
苏州市,江苏省,0.07
张家界市,湖南省,0.06
西安市,陕西省,0.06
常德市,湖南省,0.06
崇左市,广西壮族自治区,0.06
海口市,海南省,0.06
荆州市,湖北省,0.05
温州市,浙江省,0.05
上饶市,江西省,0.05
吉安市,江西省,0.05
怀化市,湖南省,0.05
金华市,浙江省,0.05
合肥市,安徽省,0.05
福州市,福建省,0.05
驻马店市,河南省,0.05
南阳市,河南省,0.05
南昌市,江西省,0.05
宜春市,江西省,0.05
九江市,江西省,0.05
信阳市,河南省,0.05
南京市,江苏省,0.05
三亚市,海南省,0.04
益阳市,湖南省,0.04
丽水市,浙江省,0.04
无锡市,江苏省,0.04
襄阳市,湖北省,0.03
毕节市,贵州省,0.03
咸宁市,湖北省,0.03
嘉兴市,浙江省,0.03
孝感市,湖北省,0.03
扬州市,江苏省,0.03
台州市,浙江省,0.03
抚州市,江西省,0.03
黄石市,湖北省,0.03
宁波市,浙江省,0.03
阜阳市,安徽省,0.03
黄冈市,湖北省,0.03
南充市,四川省,0.03
黔西南布依族苗族自治州,贵州省,0.02
恩施土家族苗族自治州,湖北省,0.02
宁德市,福建省,0.02
