city_name,province_name,value
东莞市,广东省,33.51
惠州市,广东省,20.44
广州市,广东省,10.05
佛山市,广东省,3.01
中山市,广东省,1.7
河源市,广东省,1.51
汕尾市,广东省,1.5
珠海市,广东省,1.3
揭阳市,广东省,0.89
江门市,广东省,0.77
汕头市,广东省,0.73
梅州市,广东省,0.73
北京市,北京市,0.67
上海市,上海市,0.64
清远市,广东省,0.62
长沙市,湖南省,0.6
肇庆市,广东省,0.52
茂名市,广东省,0.5
桂林市,广西壮族自治区,0.5
南宁市,广西壮族自治区,0.49
重庆市,重庆市,0.47
韶关市,广东省,0.45
武汉市,湖北省,0.45
赣州市,江西省,0.44
湛江市,广东省,0.42
玉林市,广西壮族自治区,0.38
成都市,四川省,0.35
杭州市,浙江省,0.32
厦门市,福建省,0.29
衡阳市,湖南省,0.28
郴州市,湖南省,0.28
西安市,陕西省,0.26
潮州市,广东省,0.26
云浮市,广东省,0.25
梧州市,广西壮族自治区,0.24
贺州市,广西壮族自治区,0.24
阳江市,广东省,0.2
邵阳市,湖南省,0.2
苏州市,江苏省,0.2
郑州市,河南省,0.2
吉安市,江西省,0.2
永州市,湖南省,0.19
南昌市,江西省,0.18
福州市,福建省,0.18
泉州市,福建省,0.18
南京市,江苏省,0.17
贵港市,广西壮族自治区,0.17
柳州市,广西壮族自治区,0.16
贵阳市,贵州省,0.14
漳州市,福建省,0.13
岳阳市,湖南省,0.13
株洲市,湖南省,0.13
海口市,海南省,0.12
昆明市,云南省,0.12
常德市,湖南省,0.12
黄冈市,湖北省,0.11
合肥市,安徽省,0.11
天津市,天津市,0.11
宜春市,江西省,0.1
驻马店市,河南省,0.1
怀化市,湖南省,0.1
南阳市,河南省,0.1
荆州市,湖北省,0.09
襄阳市,湖北省,0.09
百色市,广西壮族自治区,0.09
宁波市,浙江省,0.08
九江市,江西省,0.08
娄底市,湖南省,0.08
龙岩市,福建省,0.08
温州市,浙江省,0.08
益阳市,湖南省,0.08
无锡市,江苏省,0.08
济南市,山东省,0.08
哈尔滨市,黑龙江省,0.08
钦州市,广西壮族自治区,0.07
金华市,浙江省,0.07
沈阳市,辽宁省,0.07
河池市,广西壮族自治区,0.07
青岛市,山东省,0.07
北海市,广西壮族自治区,0.06
洛阳市,河南省,0.06
咸宁市,湖北省,0.06
抚州市,江西省,0.06
信阳市,河南省,0.06
崇左市,广西壮族自治区,0.06
湘潭市,湖南省,0.06
上饶市,江西省,0.05
遵义市,贵州省,0.05
长春市,吉林省,0.05
嘉兴市,浙江省,0.05
宜昌市,湖北省,0.05
毕节市,贵州省,0.05
南充市,四川省,0.05
孝感市,湖北省,0.05
来宾市,广西壮族自治区,0.05
黔东南苗族侗族自治州,贵州省,0.05
太原市,山西省,0.05
达州市,四川省,0.05
莆田市,福建省,0.05
石家庄市,河北省,0.05
