city_name,province_name,value
佛山市,广东省,34.77
广州市,广东省,19.79
云浮市,广东省,8.68
清远市,广东省,4.05
东莞市,广东省,3.12
江门市,广东省,3.05
深圳市,广东省,2.79
中山市,广东省,2.77
梧州市,广西壮族自治区,2.74
贺州市,广西壮族自治区,1.95
珠海市,广东省,1.19
惠州市,广东省,1.01
茂名市,广东省,0.99
贵港市,广西壮族自治区,0.86
阳江市,广东省,0.74
湛江市,广东省,0.58
韶关市,广东省,0.55
桂林市,广西壮族自治区,0.55
南宁市,广西壮族自治区,0.49
玉林市,广西壮族自治区,0.39
永州市,湖南省,0.31
河源市,广东省,0.28
衡阳市,湖南省,0.26
柳州市,广西壮族自治区,0.26
郴州市,湖南省,0.24
百色市,广西壮族自治区,0.23
长沙市,湖南省,0.23
钦州市,广西壮族自治区,0.23
揭阳市,广东省,0.23
汕头市,广东省,0.23
重庆市,重庆市,0.22
赣州市,江西省,0.22
梅州市,广东省,0.2
汕尾市,广东省,0.2
铜仁市,贵州省,0.17
北京市,北京市,0.15
河池市,广西壮族自治区,0.13
黔东南苗族侗族自治州,贵州省,0.12
上海市,上海市,0.12
来宾市,广西壮族自治区,0.11
文山壮族苗族自治州,云南省,0.1
昆明市,云南省,0.1
邵阳市,湖南省,0.1
遵义市,贵州省,0.09
岳阳市,湖南省,0.09
武汉市,湖北省,0.09
贵阳市,贵州省,0.08
潮州市,广东省,0.08
北海市,广西壮族自治区,0.08
厦门市,福建省,0.07
南阳市,河南省,0.07
成都市,四川省,0.07
娄底市,湖南省,0.06
海口市,海南省,0.06
黔南布依族苗族自治州,贵州省,0.06
莆田市,福建省,0.06
杭州市,浙江省,0.06
毕节市,贵州省,0.05
南京市,江苏省,0.05
南昌市,江西省,0.05
宜春市,江西省,0.05
福州市,福建省,0.05
崇左市,广西壮族自治区,0.05
漳州市,福建省,0.05
株洲市,湖南省,0.05
泉州市,福建省,0.05
常德市,湖南省,0.04
益阳市,湖南省,0.04
宁波市,浙江省,0.04
怀化市,湖南省,0.04
西安市,陕西省,0.04
湘潭市,湖南省,0.04
荆州市,湖北省,0.04
驻马店市,河南省,0.04
温州市,浙江省,0.03
上饶市,江西省,0.03
黄石市,湖北省,0.03
恩施土家族苗族自治州,湖北省,0.03
吉安市,江西省,0.03
九江市,江西省,0.03
信阳市,河南省,0.03
南充市,四川省,0.03
红河哈尼族彝族自治州,云南省,0.03
湘西土家族苗族自治州,湖南省,0.03
宜宾市,四川省,0.02
防城港市,广西壮族自治区,0.02
黔西南布依族苗族自治州,贵州省,0.02
安顺市,贵州省,0.02
合肥市,安徽省,0.02
龙岩市,福建省,0.02
凉山彝族自治州,四川省,0.02
苏州市,江苏省,0.02
三亚市,海南省,0.02
宜昌市,湖北省,0.02
郑州市,河南省,0.02
保定市,河北省,0.02
泸州市,四川省,0.02
天津市,天津市,0.02
无锡市,江苏省,0.02
曲靖市,云南省,0.02
