city_name,province_name,value
珠海市,广东省,30.98
佛山市,广东省,18.94
广州市,广东省,12.05
江门市,广东省,10.44
深圳市,广东省,3.99
东莞市,广东省,3.96
肇庆市,广东省,1.07
惠州市,广东省,1.06
贵港市,广西壮族自治区,0.76
阳江市,广东省,0.73
清远市,广东省,0.66
湛江市,广东省,0.55
云浮市,广东省,0.55
茂名市,广东省,0.52
梧州市,广西壮族自治区,0.51
衡阳市,湖南省,0.42
玉林市,广西壮族自治区,0.39
南宁市,广西壮族自治区,0.36
赣州市,江西省,0.36
贺州市,广西壮族自治区,0.32
长沙市,湖南省,0.3
韶关市,广东省,0.29
重庆市,重庆市,0.27
桂林市,广西壮族自治区,0.27
揭阳市,广东省,0.23
郴州市,湖南省,0.21
永州市,湖南省,0.21
百色市,广西壮族自治区,0.2
汕尾市,广东省,0.19
钦州市,广西壮族自治区,0.19
上海市,上海市,0.19
河源市,广东省,0.18
汕头市,广东省,0.18
梅州市,广东省,0.16
河池市,广西壮族自治区,0.14
北京市,北京市,0.14
贵阳市,贵州省,0.13
铜仁市,贵州省,0.13
泸州市,四川省,0.13
武汉市,湖北省,0.13
来宾市,广西壮族自治区,0.12
柳州市,广西壮族自治区,0.11
黔南布依族苗族自治州,贵州省,0.11
邵阳市,湖南省,0.11
成都市,四川省,0.11
岳阳市,湖南省,0.11
遵义市,贵州省,0.1
宜宾市,四川省,0.1
厦门市,福建省,0.1
泉州市,福建省,0.1
崇左市,广西壮族自治区,0.09
常德市,湖南省,0.09
杭州市,浙江省,0.09
怀化市,湖南省,0.08
潮州市,广东省,0.08
昆明市,云南省,0.08
文山壮族苗族自治州,云南省,0.08
吉安市,江西省,0.07
黔东南苗族侗族自治州,贵州省,0.07
株洲市,湖南省,0.07
郑州市,河南省,0.06
苏州市,江苏省,0.06
北海市,广西壮族自治区,0.05
福州市,福建省,0.05
漳州市,福建省,0.05
南昌市,江西省,0.05
西安市,陕西省,0.05
九江市,江西省,0.05
毕节市,贵州省,0.05
娄底市,湖南省,0.05
湘潭市,湖南省,0.04
宜春市,江西省,0.04
信阳市,河南省,0.04
驻马店市,河南省,0.04
金华市,浙江省,0.04
南阳市,河南省,0.04
海口市,海南省,0.04
宁波市,浙江省,0.04
荆州市,湖北省,0.04
益阳市,湖南省,0.04
南京市,江苏省,0.03
天津市,天津市,0.03
嘉兴市,浙江省,0.03
温州市,浙江省,0.03
上饶市,江西省,0.03
石家庄市,河北省,0.03
襄阳市,湖北省,0.03
黄冈市,湖北省,0.03
恩施土家族苗族自治州,湖北省,0.03
黄山市,安徽省,0.03
张家界市,湖南省,0.03
龙岩市,福建省,0.02
萍乡市,江西省,0.02
合肥市,安徽省,0.02
六盘水市,贵州省,0.02
青岛市,山东省,0.02
随州市,湖北省,0.02
无锡市,江苏省,0.02
咸宁市,湖北省,0.02
安顺市,贵州省,0.02
