city_name,province_name,value
中山市,广东省,42.32
广州市,广东省,9.93
江门市,广东省,7.42
深圳市,广东省,5.17
佛山市,广东省,4.27
东莞市,广东省,2.64
茂名市,广东省,1.01
惠州市,广东省,0.95
湛江市,广东省,0.84
阳江市,广东省,0.81
肇庆市,广东省,0.78
云浮市,广东省,0.46
北京市,北京市,0.46
清远市,广东省,0.45
韶关市,广东省,0.38
上海市,上海市,0.37
长沙市,湖南省,0.34
重庆市,重庆市,0.3
武汉市,湖北省,0.23
成都市,四川省,0.21
河源市,广东省,0.21
南宁市,广西壮族自治区,0.2
揭阳市,广东省,0.2
汕尾市,广东省,0.2
汕头市,广东省,0.19
桂林市,广西壮族自治区,0.18
西安市,陕西省,0.18
梅州市,广东省,0.18
玉林市,广西壮族自治区,0.17
郴州市,湖南省,0.15
梧州市,广西壮族自治区,0.15
南昌市,江西省,0.15
厦门市,福建省,0.15
郑州市,河南省,0.15
赣州市,江西省,0.14
南京市,江苏省,0.14
衡阳市,湖南省,0.14
杭州市,浙江省,0.13
海口市,海南省,0.13
昆明市,云南省,0.12
永州市,湖南省,0.12
潮州市,广东省,0.11
哈尔滨市,黑龙江省,0.11
贺州市,广西壮族自治区,0.09
福州市,福建省,0.09
贵阳市,贵州省,0.09
泉州市,福建省,0.08
苏州市,江苏省,0.08
遵义市,贵州省,0.08
贵港市,广西壮族自治区,0.08
邵阳市,湖南省,0.07
柳州市,广西壮族自治区,0.07
岳阳市,湖南省,0.07
百色市,广西壮族自治区,0.06
太原市,山西省,0.06
天津市,天津市,0.06
沈阳市,辽宁省,0.06
株洲市,湖南省,0.06
常德市,湖南省,0.06
合肥市,安徽省,0.06
漳州市,福建省,0.05
北海市,广西壮族自治区,0.05
娄底市,湖南省,0.05
钦州市,广西壮族自治区,0.05
济南市,山东省,0.05
温州市,浙江省,0.05
荆州市,湖北省,0.05
益阳市,湖南省,0.04
黔东南苗族侗族自治州,贵州省,0.04
三亚市,海南省,0.04
滁州市,安徽省,0.04
九江市,江西省,0.04
防城港市,广西壮族自治区,0.04
信阳市,河南省,0.04
长春市,吉林省,0.04
邯郸市,河北省,0.04
宜春市,江西省,0.04
抚州市,江西省,0.04
咸阳市,陕西省,0.04
常州市,江苏省,0.03
吕梁市,山西省,0.03
廊坊市,河北省,0.03
无锡市,江苏省,0.03
乌鲁木齐市,新疆维吾尔自治区,0.03
文山壮族苗族自治州,云南省,0.03
扬州市,江苏省,0.03
金华市,浙江省,0.03
宁波市,浙江省,0.03
南阳市,河南省,0.03
大连市,辽宁省,0.03
石家庄市,河北省,0.03
兰州市,甘肃省,0.03
湘潭市,湖南省,0.03
张家界市,湖南省,0.03
崇左市,广西壮族自治区,0.03
吉安市,江西省,0.03
洛阳市,河南省,0.03
黄冈市,湖北省,0.02
河池市,广西壮族自治区,0.02
昭通市,云南省,0.02
