city_name,province_name,value
深圳市,广东省,30.19
广州市,广东省,20.23
惠州市,广东省,12.3
佛山市,广东省,4.25
中山市,广东省,2.19
清远市,广东省,1.6
肇庆市,广东省,1.41
茂名市,广东省,1.39
江门市,广东省,1.36
河源市,广东省,1.35
珠海市,广东省,1.24
湛江市,广东省,0.92
揭阳市,广东省,0.82
玉林市,广西壮族自治区,0.8
梅州市,广东省,0.79
韶关市,广东省,0.79
赣州市,江西省,0.77
汕尾市,广东省,0.74
永州市,湖南省,0.69
长沙市,湖南省,0.69
郴州市,湖南省,0.64
南宁市,广西壮族自治区,0.56
衡阳市,湖南省,0.53
钦州市,广西壮族自治区,0.48
云浮市,广东省,0.47
汕头市,广东省,0.45
邵阳市,湖南省,0.44
阳江市,广东省,0.4
重庆市,重庆市,0.38
贵港市,广西壮族自治区,0.35
桂林市,广西壮族自治区,0.32
武汉市,湖北省,0.32
吉安市,江西省,0.28
梧州市,广西壮族自治区,0.26
潮州市,广东省,0.25
百色市,广西壮族自治区,0.23
南昌市,江西省,0.22
泉州市,福建省,0.2
常德市,湖南省,0.19
贺州市,广西壮族自治区,0.19
厦门市,福建省,0.19
河池市,广西壮族自治区,0.19
株洲市,湖南省,0.17
柳州市,广西壮族自治区,0.15
上海市,上海市,0.15
益阳市,湖南省,0.15
宜春市,江西省,0.14
岳阳市,湖南省,0.14
黔东南苗族侗族自治州,贵州省,0.14
漳州市,福建省,0.13
福州市,福建省,0.13
娄底市,湖南省,0.13
文山壮族苗族自治州,云南省,0.13
成都市,四川省,0.13
怀化市,湖南省,0.13
来宾市,广西壮族自治区,0.12
贵阳市,贵州省,0.11
九江市,江西省,0.11
黔南布依族苗族自治州,贵州省,0.11
黄冈市,湖北省,0.1
信阳市,河南省,0.1
北京市,北京市,0.1
南阳市,河南省,0.1
湘潭市,湖南省,0.1
驻马店市,河南省,0.1
崇左市,广西壮族自治区,0.09
苏州市,江苏省,0.09
抚州市,江西省,0.09
遵义市,贵州省,0.09
郑州市,河南省,0.09
荆州市,湖北省,0.09
咸宁市,湖北省,0.08
杭州市,浙江省,0.08
黔西南布依族苗族自治州,贵州省,0.08
合肥市,安徽省,0.07
襄阳市,湖北省,0.07
南京市,江苏省,0.07
毕节市,贵州省,0.07
达州市,四川省,0.06
西安市,陕西省,0.06
温州市,浙江省,0.06
北海市,广西壮族自治区,0.06
昆明市,云南省,0.06
海口市,海南省,0.05
金华市,浙江省,0.05
周口市,河南省,0.05
龙岩市,福建省,0.05
萍乡市,江西省,0.05
孝感市,湖北省,0.05
宁波市,浙江省,0.04
铜仁市,贵州省,0.04
阜阳市,安徽省,0.04
莆田市,福建省,0.04
张家界市,湖南省,0.04
防城港市,广西壮族自治区,0.04
嘉兴市,浙江省,0.04
湘西土家族苗族自治州,湖南省,0.04
南充市,四川省,0.04
安顺市,贵州省,0.03
红河哈尼族彝族自治州,云南省,0.03
