city_name,province_name,value
广州市,广东省,45.3
中山市,广东省,9.19
肇庆市,广东省,6.66
江门市,广东省,5.97
东莞市,广东省,3.6
深圳市,广东省,3.09
清远市,广东省,2.96
云浮市,广东省,1.35
惠州市,广东省,1.23
珠海市,广东省,1.14
贵港市,广西壮族自治区,0.9
湛江市,广东省,0.78
韶关市,广东省,0.75
茂名市,广东省,0.73
衡阳市,湖南省,0.68
梧州市,广西壮族自治区,0.67
阳江市,广东省,0.65
玉林市,广西壮族自治区,0.52
南宁市,广西壮族自治区,0.47
贺州市,广西壮族自治区,0.42
赣州市,江西省,0.41
桂林市,广西壮族自治区,0.41
长沙市,湖南省,0.35
梅州市,广东省,0.33
郴州市,湖南省,0.33
重庆市,重庆市,0.33
河源市,广东省,0.31
永州市,湖南省,0.31
汕头市,广东省,0.3
揭阳市,广东省,0.3
汕尾市,广东省,0.28
钦州市,广西壮族自治区,0.25
岳阳市,湖南省,0.22
武汉市,湖北省,0.2
百色市,广西壮族自治区,0.18
上海市,上海市,0.17
河池市,广西壮族自治区,0.17
邵阳市,湖南省,0.16
柳州市,广西壮族自治区,0.15
成都市,四川省,0.15
潮州市,广东省,0.15
株洲市,湖南省,0.14
铜仁市,贵州省,0.13
北京市,北京市,0.13
娄底市,湖南省,0.13
黔东南苗族侗族自治州,贵州省,0.13
益阳市,湖南省,0.13
常德市,湖南省,0.12
荆州市,湖北省,0.12
杭州市,浙江省,0.11
泉州市,福建省,0.11
吉安市,江西省,0.1
九江市,江西省,0.1
贵阳市,贵州省,0.1
南昌市,江西省,0.1
来宾市,广西壮族自治区,0.1
南阳市,河南省,0.09
宜春市,江西省,0.09
厦门市,福建省,0.09
郑州市,河南省,0.09
福州市,福建省,0.08
信阳市,河南省,0.08
驻马店市,河南省,0.08
怀化市,湖南省,0.08
遵义市,贵州省,0.08
黄冈市,湖北省,0.07
湘潭市,湖南省,0.07
泸州市,四川省,0.07
温州市,浙江省,0.07
文山壮族苗族自治州,云南省,0.07
西安市,陕西省,0.07
抚州市,江西省,0.06
崇左市,广西壮族自治区,0.06
黔南布依族苗族自治州,贵州省,0.06
苏州市,江苏省,0.06
漳州市,福建省,0.06
昆明市,云南省,0.06
北海市,广西壮族自治区,0.06
孝感市,湖北省,0.06
海口市,海南省,0.05
金华市,浙江省,0.05
湘西土家族苗族自治州,湖南省,0.05
合肥市,安徽省,0.05
南京市,江苏省,0.05
上饶市,江西省,0.05
襄阳市,湖北省,0.05
咸宁市,湖北省,0.04
黔西南布依族苗族自治州,贵州省,0.04
宁波市,浙江省,0.04
沈阳市,辽宁省,0.04
南充市,四川省,0.04
萍乡市,江西省,0.04
龙岩市,福建省,0.04
毕节市,贵州省,0.04
石家庄市,河北省,0.03
青岛市,山东省,0.03
济南市,山东省,0.03
天津市,天津市,0.03
乌鲁木齐市,新疆维吾尔自治区,0.03
张家界市,湖南省,0.03
