city_name,province_name,value
佛山市,广东省,27.52
东莞市,广东省,8.79
清远市,广东省,7.68
深圳市,广东省,6.83
江门市,广东省,4.79
惠州市,广东省,4.19
茂名市,广东省,3.38
中山市,广东省,3.36
肇庆市,广东省,3.16
韶关市,广东省,3.09
珠海市,广东省,2.32
云浮市,广东省,1.69
汕尾市,广东省,1.2
湛江市,广东省,1.15
揭阳市,广东省,0.87
河源市,广东省,0.86
汕头市,广东省,0.86
阳江市,广东省,0.8
长沙市,湖南省,0.78
梅州市,广东省,0.78
武汉市,湖北省,0.59
赣州市,江西省,0.57
衡阳市,湖南省,0.56
郴州市,湖南省,0.47
南宁市,广西壮族自治区,0.47
潮州市,广东省,0.45
上海市,上海市,0.44
桂林市,广西壮族自治区,0.41
北京市,北京市,0.37
梧州市,广西壮族自治区,0.35
重庆市,重庆市,0.32
永州市,湖南省,0.27
玉林市,广西壮族自治区,0.27
邵阳市,湖南省,0.26
成都市,四川省,0.25
贵港市,广西壮族自治区,0.24
杭州市,浙江省,0.23
柳州市,广西壮族自治区,0.21
钦州市,广西壮族自治区,0.21
厦门市,福建省,0.2
贺州市,广西壮族自治区,0.18
南昌市,江西省,0.17
西安市,陕西省,0.16
贵阳市,贵州省,0.15
南京市,江苏省,0.14
泉州市,福建省,0.14
苏州市,江苏省,0.14
郑州市,河南省,0.13
株洲市,湖南省,0.13
昆明市,云南省,0.13
岳阳市,湖南省,0.12
海口市,海南省,0.12
福州市,福建省,0.11
吉安市,江西省,0.09
漳州市,福建省,0.09
荆州市,湖北省,0.09
天津市,天津市,0.09
无锡市,江苏省,0.09
常德市,湖南省,0.09
温州市,浙江省,0.09
北海市,广西壮族自治区,0.08
湘潭市,湖南省,0.08
怀化市,湖南省,0.08
娄底市,湖南省,0.08
宜春市,江西省,0.08
黔东南苗族侗族自治州,贵州省,0.08
益阳市,湖南省,0.07
金华市,浙江省,0.07
百色市,广西壮族自治区,0.07
合肥市,安徽省,0.07
九江市,江西省,0.07
宁波市,浙江省,0.07
驻马店市,河南省,0.07
青岛市,山东省,0.07
济南市,山东省,0.06
三亚市,海南省,0.06
沈阳市,辽宁省,0.05
上饶市,江西省,0.05
遵义市,贵州省,0.05
乌鲁木齐市,新疆维吾尔自治区,0.05
廊坊市,河北省,0.05
黄冈市,湖北省,0.04
龙岩市,福建省,0.04
黔南布依族苗族自治州,贵州省,0.04
南阳市,河南省,0.04
嘉兴市,浙江省,0.04
石家庄市,河北省,0.04
萍乡市,江西省,0.04
哈尔滨市,黑龙江省,0.04
襄阳市,湖北省,0.04
兰州市,甘肃省,0.04
河池市,广西壮族自治区,0.04
抚州市,江西省,0.04
来宾市,广西壮族自治区,0.04
洛阳市,河南省,0.03
崇左市,广西壮族自治区,0.03
孝感市,湖北省,0.03
太原市,山西省,0.03
信阳市,河南省,0.03
宜昌市,湖北省,0.03
