city_name,province_name,value
深圳市,广东省,36.26
东莞市,广东省,22.78
广州市,广东省,10.85
河源市,广东省,5.19
汕尾市,广东省,3.85
佛山市,广东省,2.3
梅州市,广东省,1.13
揭阳市,广东省,0.94
中山市,广东省,0.91
赣州市,江西省,0.69
韶关市,广东省,0.68
清远市,广东省,0.68
汕头市,广东省,0.66
珠海市,广东省,0.61
江门市,广东省,0.54
肇庆市,广东省,0.45
郴州市,湖南省,0.34
长沙市,湖南省,0.34
重庆市,重庆市,0.31
北京市,北京市,0.29
潮州市,广东省,0.27
桂林市,广西壮族自治区,0.25
湛江市,广东省,0.25
茂名市,广东省,0.25
衡阳市,湖南省,0.23
泉州市,福建省,0.23
永州市,湖南省,0.21
南宁市,广西壮族自治区,0.21
上海市,上海市,0.21
吉安市,江西省,0.2
邵阳市,湖南省,0.2
玉林市,广西壮族自治区,0.19
武汉市,湖北省,0.19
厦门市,福建省,0.19
成都市,四川省,0.17
漳州市,福建省,0.17
云浮市,广东省,0.16
阳江市,广东省,0.14
贵港市,广西壮族自治区,0.13
南昌市,江西省,0.12
百色市,广西壮族自治区,0.1
株洲市,湖南省,0.1
岳阳市,湖南省,0.09
郑州市,河南省,0.09
信阳市,河南省,0.09
贵阳市,贵州省,0.09
梧州市,广西壮族自治区,0.08
杭州市,浙江省,0.08
铜仁市,贵州省,0.08
苏州市,江苏省,0.08
西安市,陕西省,0.08
黔南布依族苗族自治州,贵州省,0.08
遵义市,贵州省,0.08
柳州市,广西壮族自治区,0.07
怀化市,湖南省,0.07
常德市,湖南省,0.07
宜春市,江西省,0.07
龙岩市,福建省,0.07
南阳市,河南省,0.07
文山壮族苗族自治州,云南省,0.07
湘潭市,湖南省,0.07
福州市,福建省,0.07
黔西南布依族苗族自治州,贵州省,0.07
合肥市,安徽省,0.06
黄冈市,湖北省,0.06
驻马店市,河南省,0.06
娄底市,湖南省,0.06
贺州市,广西壮族自治区,0.06
益阳市,湖南省,0.05
上饶市,江西省,0.05
昆明市,云南省,0.05
九江市,江西省,0.05
钦州市,广西壮族自治区,0.05
无锡市,江苏省,0.05
河池市,广西壮族自治区,0.05
毕节市,贵州省,0.05
咸宁市,湖北省,0.05
海口市,海南省,0.05
来宾市,广西壮族自治区,0.04
阜阳市,安徽省,0.04
温州市,浙江省,0.04
周口市,河南省,0.04
宁波市,浙江省,0.04
黔东南苗族侗族自治州,贵州省,0.04
抚州市,江西省,0.04
襄阳市,湖北省,0.04
金华市,浙江省,0.04
广安市,四川省,0.04
南京市,江苏省,0.03
天津市,天津市,0.03
荆州市,湖北省,0.03
安顺市,贵州省,0.03
随州市,湖北省,0.03
宜昌市,湖北省,0.03
红河哈尼族彝族自治州,云南省,0.03
达州市,四川省,0.03
济南市,山东省,0.03
恩施土家族苗族自治州,湖北省,0.03
兰州市,甘肃省,0.03
张家界市,湖南省,0.02
