city_name,province_name,value
佛山市,广东省,18.83
中山市,广东省,16.47
广州市,广东省,14.16
珠海市,广东省,6.51
茂名市,广东省,5.1
阳江市,广东省,4.84
深圳市,广东省,3.67
东莞市,广东省,3.16
肇庆市,广东省,2.57
云浮市,广东省,2.52
湛江市,广东省,2.46
清远市,广东省,1.52
韶关市,广东省,1.3
玉林市,广西壮族自治区,0.97
惠州市,广东省,0.9
贵港市,广西壮族自治区,0.89
永州市,湖南省,0.77
梧州市,广西壮族自治区,0.69
南宁市,广西壮族自治区,0.57
郴州市,湖南省,0.47
桂林市,广西壮族自治区,0.42
钦州市,广西壮族自治区,0.41
揭阳市,广东省,0.39
邵阳市,湖南省,0.38
梅州市,广东省,0.36
赣州市,江西省,0.35
汕尾市,广东省,0.34
贺州市,广西壮族自治区,0.3
百色市,广西壮族自治区,0.29
柳州市,广西壮族自治区,0.27
长沙市,湖南省,0.27
来宾市,广西壮族自治区,0.27
衡阳市,湖南省,0.25
汕头市,广东省,0.22
武汉市,湖北省,0.2
河源市,广东省,0.19
河池市,广西壮族自治区,0.19
重庆市,重庆市,0.19
铜仁市,贵州省,0.18
北海市,广西壮族自治区,0.17
文山壮族苗族自治州,云南省,0.16
潮州市,广东省,0.12
成都市,四川省,0.1
北京市,北京市,0.1
吉安市,江西省,0.09
上海市,上海市,0.09
泉州市,福建省,0.08
岳阳市,湖南省,0.08
怀化市,湖南省,0.08
信阳市,河南省,0.08
贵阳市,贵州省,0.08
漳州市,福建省,0.08
常德市,湖南省,0.07
娄底市,湖南省,0.07
崇左市,广西壮族自治区,0.07
厦门市,福建省,0.06
黔东南苗族侗族自治州,贵州省,0.06
南昌市,江西省,0.06
福州市,福建省,0.06
驻马店市,河南省,0.05
益阳市,湖南省,0.05
黄冈市,湖北省,0.05
株洲市,湖南省,0.05
南阳市,河南省,0.05
丽水市,浙江省,0.05
九江市,江西省,0.05
遵义市,贵州省,0.04
郑州市,河南省,0.04
杭州市,浙江省,0.04
宜春市,江西省,0.04
西安市,陕西省,0.04
昆明市,云南省,0.04
孝感市,湖北省,0.04
黔南布依族苗族自治州,贵州省,0.04
荆州市,湖北省,0.03
抚州市,江西省,0.03
防城港市,广西壮族自治区,0.03
海口市,海南省,0.03
合肥市,安徽省,0.03
上饶市,江西省,0.03
温州市,浙江省,0.03
襄阳市,湖北省,0.03
南京市,江苏省,0.03
金华市,浙江省,0.02
天津市,天津市,0.02
恩施土家族苗族自治州,湖北省,0.02
洛阳市,河南省,0.02
咸宁市,湖北省,0.02
台州市,浙江省,0.02
苏州市,江苏省,0.02
周口市,河南省,0.02
曲靖市,云南省,0.02
宜宾市,四川省,0.02
泸州市,四川省,0.01
宁波市,浙江省,0.01
毕节市,贵州省,0.01
无锡市,江苏省,0.01
南充市,四川省,0.01
湘潭市,湖南省,0.01
黔西南布依族苗族自治州,贵州省,0.01
