city_name,province_name,value
东莞市,广东省,32.41
惠州市,广东省,18.21
广州市,广东省,9.15
佛山市,广东省,2.77
中山市,广东省,1.73
河源市,广东省,1.51
汕尾市,广东省,1.47
珠海市,广东省,1.17
梅州市,广东省,1
揭阳市,广东省,0.94
上海市,上海市,0.92
北京市,北京市,0.89
江门市,广东省,0.8
汕头市,广东省,0.73
长沙市,湖南省,0.73
茂名市,广东省,0.72
清远市,广东省,0.7
湛江市,广东省,0.67
重庆市,重庆市,0.62
赣州市,江西省,0.56
成都市,四川省,0.53
武汉市,湖北省,0.5
肇庆市,广东省,0.47
韶关市,广东省,0.43
杭州市,浙江省,0.41
南宁市,广西壮族自治区,0.39
衡阳市,湖南省,0.38
桂林市,广西壮族自治区,0.36
郴州市,湖南省,0.36
厦门市,福建省,0.35
玉林市,广西壮族自治区,0.35
西安市,陕西省,0.34
永州市,湖南省,0.3
吉安市,江西省,0.28
邵阳市,湖南省,0.27
南昌市,江西省,0.26
苏州市,江苏省,0.26
南京市,江苏省,0.26
云浮市,广东省,0.25
郑州市,河南省,0.24
潮州市,广东省,0.23
阳江市,广东省,0.22
湘潭市,湖南省,0.21
宁波市,浙江省,0.21
昆明市,云南省,0.21
泉州市,福建省,0.2
贵阳市,贵州省,0.19
福州市,福建省,0.19
梧州市,广西壮族自治区,0.17
合肥市,安徽省,0.17
海口市,海南省,0.17
株洲市,湖南省,0.17
黄冈市,湖北省,0.17
常德市,湖南省,0.15
周口市,河南省,0.15
怀化市,湖南省,0.15
岳阳市,湖南省,0.14
天津市,天津市,0.14
驻马店市,河南省,0.14
贺州市,广西壮族自治区,0.14
贵港市,广西壮族自治区,0.13
南阳市,河南省,0.13
漳州市,福建省,0.13
宜春市,江西省,0.13
荆州市,湖北省,0.12
百色市,广西壮族自治区,0.12
娄底市,湖南省,0.12
无锡市,江苏省,0.11
益阳市,湖南省,0.11
河池市,广西壮族自治区,0.11
济南市,山东省,0.11
九江市,江西省,0.11
温州市,浙江省,0.11
青岛市,山东省,0.1
柳州市,广西壮族自治区,0.1
哈尔滨市,黑龙江省,0.1
沈阳市,辽宁省,0.1
钦州市,广西壮族自治区,0.09
金华市,浙江省,0.09
襄阳市,湖北省,0.09
抚州市,江西省,0.09
遵义市,贵州省,0.08
信阳市,河南省,0.08
上饶市,江西省,0.08
黔东南苗族侗族自治州,贵州省,0.08
常州市,江苏省,0.08
崇左市,广西壮族自治区,0.08
三亚市,海南省,0.08
咸宁市,湖北省,0.08
孝感市,湖北省,0.08
长春市,吉林省,0.07
达州市,四川省,0.07
乌鲁木齐市,新疆维吾尔自治区,0.07
毕节市,贵州省,0.07
咸阳市,陕西省,0.07
南充市,四川省,0.07
黔南布依族苗族自治州,贵州省,0.07
商丘市,河南省,0.07
太原市,山西省,0.07
南通市,江苏省,0.06
