city_name,province_name,value
佛山市,广东省,32.29
广州市,广东省,24.77
云浮市,广东省,8.36
深圳市,广东省,4.37
东莞市,广东省,3.82
清远市,广东省,3.14
江门市,广东省,2.76
中山市,广东省,2.55
梧州市,广西壮族自治区,2.53
珠海市,广东省,1.57
贺州市,广西壮族自治区,1.31
惠州市,广东省,1.13
阳江市,广东省,0.75
茂名市,广东省,0.72
湛江市,广东省,0.55
桂林市,广西壮族自治区,0.49
南宁市,广西壮族自治区,0.48
韶关市,广东省,0.42
贵港市,广西壮族自治区,0.42
玉林市,广西壮族自治区,0.32
揭阳市,广东省,0.25
重庆市,重庆市,0.24
柳州市,广西壮族自治区,0.23
长沙市,湖南省,0.22
永州市,湖南省,0.19
河源市,广东省,0.18
衡阳市,湖南省,0.18
汕头市,广东省,0.17
梅州市,广东省,0.15
钦州市,广西壮族自治区,0.14
赣州市,江西省,0.14
郴州市,湖南省,0.13
百色市,广西壮族自治区,0.13
铜仁市,贵州省,0.13
汕尾市,广东省,0.12
贵阳市,贵州省,0.12
遵义市,贵州省,0.11
河池市,广西壮族自治区,0.1
黔东南苗族侗族自治州,贵州省,0.09
成都市,四川省,0.08
上海市,上海市,0.08
北海市,广西壮族自治区,0.08
武汉市,湖北省,0.08
潮州市,广东省,0.08
来宾市,广西壮族自治区,0.08
北京市,北京市,0.07
杭州市,浙江省,0.07
文山壮族苗族自治州,云南省,0.07
郑州市,河南省,0.07
崇左市,广西壮族自治区,0.06
海口市,海南省,0.06
莆田市,福建省,0.06
红河哈尼族彝族自治州,云南省,0.06
吉安市,江西省,0.06
黔南布依族苗族自治州,贵州省,0.06
邵阳市,湖南省,0.05
厦门市,福建省,0.05
湘潭市,湖南省,0.05
昆明市,云南省,0.05
福州市,福建省,0.05
娄底市,湖南省,0.04
南阳市,河南省,0.04
怀化市,湖南省,0.04
南昌市,江西省,0.04
益阳市,湖南省,0.04
泉州市,福建省,0.04
南京市,江苏省,0.04
岳阳市,湖南省,0.04
金华市,浙江省,0.03
宜春市,江西省,0.03
株洲市,湖南省,0.03
南充市,四川省,0.03
漳州市,福建省,0.03
宁波市,浙江省,0.02
毕节市,贵州省,0.02
荆州市,湖北省,0.02
西安市,陕西省,0.02
上饶市,江西省,0.02
黔西南布依族苗族自治州,贵州省,0.02
大理白族自治州,云南省,0.02
信阳市,河南省,0.02
天津市,天津市,0.02
常德市,湖南省,0.02
恩施土家族苗族自治州,湖北省,0.02
张家界市,湖南省,0.02
苏州市,江苏省,0.02
合肥市,安徽省,0.02
青岛市,山东省,0.02
防城港市,广西壮族自治区,0.02
黄石市,湖北省,0.02
三亚市,海南省,0.02
开封市,河南省,0.02
宁德市,福建省,0.02
安顺市,贵州省,0.01
温州市,浙江省,0.01
抚州市,江西省,0.01
淄博市,山东省,0.01
嘉兴市,浙江省,0.01
六盘水市,贵州省,0.01
襄阳市,湖北省,0.01
