city_name,province_name,value
珠海市,广东省,26.52
佛山市,广东省,17.99
广州市,广东省,12.95
江门市,广东省,10.33
深圳市,广东省,5.13
东莞市,广东省,4.66
肇庆市,广东省,1.42
惠州市,广东省,1.37
茂名市,广东省,1.14
清远市,广东省,1.02
阳江市,广东省,0.95
云浮市,广东省,0.85
湛江市,广东省,0.71
梧州市,广西壮族自治区,0.67
贵港市,广西壮族自治区,0.66
韶关市,广东省,0.55
河池市,广西壮族自治区,0.53
衡阳市,湖南省,0.45
玉林市,广西壮族自治区,0.37
南宁市,广西壮族自治区,0.36
赣州市,江西省,0.32
河源市,广东省,0.3
百色市,广西壮族自治区,0.29
长沙市,湖南省,0.29
贺州市,广西壮族自治区,0.28
揭阳市,广东省,0.28
重庆市,重庆市,0.23
梅州市,广东省,0.23
柳州市,广西壮族自治区,0.23
崇左市,广西壮族自治区,0.23
汕尾市,广东省,0.22
桂林市,广西壮族自治区,0.22
汕头市,广东省,0.21
郴州市,湖南省,0.21
永州市,湖南省,0.19
钦州市,广西壮族自治区,0.19
潮州市,广东省,0.18
邵阳市,湖南省,0.12
武汉市,湖北省,0.12
来宾市,广西壮族自治区,0.12
泸州市,四川省,0.11
上海市,上海市,0.1
成都市,四川省,0.1
北京市,北京市,0.1
铜仁市,贵州省,0.09
郑州市,河南省,0.09
常德市,湖南省,0.08
贵阳市,贵州省,0.07
株洲市,湖南省,0.07
泉州市,福建省,0.07
昆明市,云南省,0.06
宜宾市,四川省,0.06
漳州市,福建省,0.06
吉安市,江西省,0.06
遵义市,贵州省,0.06
杭州市,浙江省,0.06
岳阳市,湖南省,0.06
南昌市,江西省,0.06
厦门市,福建省,0.06
金华市,浙江省,0.05
荆州市,湖北省,0.05
怀化市,湖南省,0.05
益阳市,湖南省,0.05
西安市,陕西省,0.05
苏州市,江苏省,0.05
北海市,广西壮族自治区,0.04
宁波市,浙江省,0.04
娄底市,湖南省,0.04
黄冈市,湖北省,0.04
温州市,浙江省,0.04
上饶市,江西省,0.04
黔东南苗族侗族自治州,贵州省,0.04
临沂市,山东省,0.04
驻马店市,河南省,0.04
信阳市,河南省,0.03
海口市,海南省,0.03
黔南布依族苗族自治州,贵州省,0.03
南阳市,河南省,0.03
福州市,福建省,0.03
湘潭市,湖南省,0.03
防城港市,广西壮族自治区,0.03
合肥市,安徽省,0.03
文山壮族苗族自治州,云南省,0.03
孝感市,湖北省,0.03
长春市,吉林省,0.03
南京市,江苏省,0.03
随州市,湖北省,0.03
襄阳市,湖北省,0.03
九江市,江西省,0.03
漯河市,河南省,0.03
萍乡市,江西省,0.02
常州市,江苏省,0.02
宜春市,江西省,0.02
临夏回族自治州,甘肃省,0.02
石家庄市,河北省,0.02
抚州市,江西省,0.02
黔西南布依族苗族自治州,贵州省,0.02
台州市,浙江省,0.02
哈尔滨市,黑龙江省,0.02
嘉兴市,浙江省,0.02
