city_name,province_name,value
中山市,广东省,34.1
广州市,广东省,10.7
深圳市,广东省,6.63
江门市,广东省,5.94
佛山市,广东省,5.2
东莞市,广东省,2.89
茂名市,广东省,1.34
惠州市,广东省,1.25
阳江市,广东省,1.22
湛江市,广东省,1.21
肇庆市,广东省,1.02
清远市,广东省,0.97
云浮市,广东省,0.66
韶关市,广东省,0.54
长沙市,湖南省,0.53
重庆市,重庆市,0.48
北京市,北京市,0.46
桂林市,广西壮族自治区,0.44
南宁市,广西壮族自治区,0.42
郴州市,湖南省,0.38
梅州市,广东省,0.36
武汉市,湖北省,0.34
成都市,四川省,0.32
梧州市,广西壮族自治区,0.32
揭阳市,广东省,0.3
玉林市,广西壮族自治区,0.3
赣州市,江西省,0.3
汕头市,广东省,0.29
永州市,湖南省,0.29
河源市,广东省,0.25
汕尾市,广东省,0.25
衡阳市,湖南省,0.24
上海市,上海市,0.22
贵港市,广西壮族自治区,0.22
贺州市,广西壮族自治区,0.21
邵阳市,湖南省,0.2
贵阳市,贵州省,0.19
杭州市,浙江省,0.19
常德市,湖南省,0.18
柳州市,广西壮族自治区,0.17
西安市,陕西省,0.16
潮州市,广东省,0.15
南昌市,江西省,0.14
昆明市,云南省,0.13
岳阳市,湖南省,0.13
南京市,江苏省,0.12
海口市,海南省,0.12
百色市,广西壮族自治区,0.12
厦门市,福建省,0.12
郑州市,河南省,0.11
荆州市,湖北省,0.11
株洲市,湖南省,0.11
合肥市,安徽省,0.11
太原市,山西省,0.1
娄底市,湖南省,0.1
遵义市,贵州省,0.1
河池市,广西壮族自治区,0.1
钦州市,广西壮族自治区,0.09
怀化市,湖南省,0.09
信阳市,河南省,0.09
苏州市,江苏省,0.09
漳州市,福建省,0.08
福州市,福建省,0.08
吉安市,江西省,0.07
温州市,浙江省,0.07
黄冈市,湖北省,0.07
天津市,天津市,0.07
益阳市,湖南省,0.07
来宾市,广西壮族自治区,0.07
张家界市,湖南省,0.07
泉州市,福建省,0.06
北海市,广西壮族自治区,0.06
湘潭市,湖南省,0.06
宜昌市,湖北省,0.06
无锡市,江苏省,0.06
宁波市,浙江省,0.06
沈阳市,辽宁省,0.06
黔南布依族苗族自治州,贵州省,0.06
黔东南苗族侗族自治州,贵州省,0.06
南阳市,河南省,0.06
济南市,山东省,0.06
哈尔滨市,黑龙江省,0.05
文山壮族苗族自治州,云南省,0.05
石家庄市,河北省,0.05
宜春市,江西省,0.05
九江市,江西省,0.05
驻马店市,河南省,0.05
襄阳市,湖北省,0.04
咸宁市,湖北省,0.04
青岛市,山东省,0.04
安顺市,贵州省,0.04
台州市,浙江省,0.04
抚州市,江西省,0.04
南充市,四川省,0.04
金华市,浙江省,0.04
芜湖市,安徽省,0.04
上饶市,江西省,0.04
孝感市,湖北省,0.04
湘西土家族苗族自治州,湖南省,0.04
黔西南布依族苗族自治州,贵州省,0.04
