Origin,Destination,Average_Proportion
FoShan,GuangZhou,44.41499999999999
FoShan,ZhongShan,8.667666666666666
FoShan,ZhaoQing,7.908333333333332
FoShan,JiangMen,6.331333333333332
FoShan,DongGuan,3.827999999999999
FoShan,ShenZhen,3.468666666666666
FoShan,ZhuHai,1.5803333333333334
FoShan,HuiZhou,1.4066666666666667
HuiZhou,ShenZhen,37.486999999999995
HuiZhou,DongGuan,22.863666666666656
HuiZhou,GuangZhou,10.312999999999999
HuiZhou,FoShan,2.268
HuiZhou,ZhongShan,0.9646666666666667
HuiZhou,ZhuHai,0.692
HuiZhou,JiangMen,0.5239999999999999
HuiZhou,ZhaoQing,0.43166666666666664
GuangZhou,FoShan,29.403666666666666
GuangZhou,DongGuan,10.697666666666665
GuangZhou,ShenZhen,7.691333333333332
GuangZhou,HuiZhou,3.980999999999999
GuangZhou,ZhongShan,3.6396666666666673
GuangZhou,ZhaoQing,3.1586666666666665
GuangZhou,JiangMen,2.8853333333333326
GuangZhou,ZhuHai,2.3506666666666667
ZhuHai,ZhongShan,42.598333333333336
ZhuHai,GuangZhou,8.954666666666668
ZhuHai,ShenZhen,5.519333333333334
ZhuHai,JiangMen,5.1916666666666655
ZhuHai,FoShan,3.628333333333333
ZhuHai,DongGuan,2.425666666666666
ZhuHai,HuiZhou,0.9306666666666668
ZhuHai,ZhaoQing,0.7070000000000002
ZhaoQing,FoShan,33.21766666666666
ZhaoQing,GuangZhou,21.304666666666666
ZhaoQing,ShenZhen,3.0316666666666667
ZhaoQing,DongGuan,3.4053333333333335
ZhaoQing,JiangMen,2.9229999999999996
ZhaoQing,ZhongShan,2.655333333333334
ZhaoQing,ZhuHai,1.3073333333333335
ZhaoQing,HuiZhou,1.088666666666667
ShenZhen,DongGuan,30.55866666666667
ShenZhen,HuiZhou,18.419666666666664
ShenZhen,GuangZhou,9.747333333333332
ShenZhen,FoShan,3.023333333333333
ShenZhen,ZhongShan,2.4736666666666665
ShenZhen,ZhuHai,1.905666666666667
ShenZhen,JiangMen,1.0743333333333334
ShenZhen,ZhaoQing,0.578
DongGuan,ShenZhen,35.67033333333334
DongGuan,GuangZhou,17.59866666666667
DongGuan,HuiZhou,14.824999999999998
DongGuan,FoShan,4.237666666666668
DongGuan,ZhongShan,2.0613333333333332
DongGuan,JiangMen,1.2266666666666668
DongGuan,ZhuHai,1.1340000000000003
DongGuan,ZhaoQing,0.8633333333333333
ZhongShan,ZhuHai,31.577
ZhongShan,FoShan,17.208666666666666
ZhongShan,GuangZhou,11.41866666666667
ZhongShan,JiangMen,10.282333333333334
ZhongShan,ShenZhen,5.519
ZhongShan,DongGuan,3.612
ZhongShan,ZhaoQing,1.2843333333333333
ZhongShan,HuiZhou,1.0453333333333334
JiangMen,FoShan,21.587
JiangMen,ZhongShan,18.88866666666667
JiangMen,GuangZhou,16.28133333333333
JiangMen,ZhuHai,8.067666666666666
JiangMen,ShenZhen,4.624
JiangMen,DongGuan,3.8560000000000008
JiangMen,ZhaoQing,2.4846666666666666
JiangMen,HuiZhou,1.121
